date,description,amount,transaction_type,year,month,day,day_of_week,year_month,base_category,cluster_id,anomaly_score,is_anomaly
2025-11-01,WATER BILL,49.59,Debit,2025,11,1,5,2025-11,Utilities,0,-0.08537602318729953,True
2025-03-01,GAS COMPANY,47.59,Debit,2025,3,1,5,2025-03,Other,3,0.16251738538266486,False
2025-02-21,TARGET T-2812,194.95,Debit,2025,2,21,4,2025-02,Shopping,3,0.10241473485483238,False
2025-01-18,SPAR HYPERMARKET,47.72,Debit,2025,1,18,5,2025-01,Other,3,0.13767535996056673,False
2025-03-10,COSTCO WHOLESALE,86.03,Debit,2025,3,10,0,2025-03,Other,4,0.1102418172927963,False
2025-02-08,ELECTRIC BILL,171.45,Debit,2025,2,8,5,2025-02,Utilities,3,0.04753325830350308,False
2025-02-05,WATER BILL,127.5,Debit,2025,2,5,2,2025-02,Utilities,4,0.09686292687735026,False
2025-03-12,WM SUPERCENTER #382,81.85,Debit,2025,3,12,2,2025-03,Other,4,0.1627871946908847,False
2025-03-15,Netflix.com Subscription,15.99,Debit,2025,3,15,5,2025-03,Entertainment,1,0.05656397771553956,False
2025-02-01,SHELL STATION #221,29.43,Debit,2025,2,1,5,2025-02,Other,3,0.154800802707376,False
2025-01-15,McDonalds #8492,26.96,Debit,2025,1,15,2,2025-01,Food,1,0.0909813316087415,False
2025-02-06,KFC Outlet 22,25.91,Debit,2025,2,6,3,2025-02,Other,3,0.17365902145420697,False
2025-01-21,McDonalds #8492,11.08,Debit,2025,1,21,1,2025-01,Food,1,0.07293255136768106,False
2025-03-24,SPAR HYPERMARKET,42.86,Debit,2025,3,24,0,2025-03,Other,4,0.12591102326934545,False
2025-03-16,Starbucks Store 0032,37.51,Debit,2025,3,16,6,2025-03,Food,1,0.07350879155848156,False
2025-03-09,GAS COMPANY,164.5,Debit,2025,3,9,6,2025-03,Other,3,0.06391556859619141,False
2025-02-21,CINEMA CITY,40.66,Debit,2025,2,21,4,2025-02,Other,3,0.16887627482359957,False
2025-02-04,YELLOW CAB CO,24.62,Debit,2025,2,4,1,2025-02,Transport,4,0.10300181635481581,False
2025-03-30,LOCAL GROCERY MART,82.1,Debit,2025,3,30,6,2025-03,Other,3,0.126351318066034,False
2025-11-01,LYFT RIDE PGH,45.44,Debit,2025,11,1,5,2025-11,Transport,0,-0.07728360251792088,True
2025-02-16,GAS COMPANY,127.56,Debit,2025,2,16,6,2025-02,Other,3,0.09832271274211696,False
2025-01-25,COSTCO WHOLESALE,150.0,Debit,2025,1,25,5,2025-01,Other,3,0.08196384479458074,False
2025-01-02,KFC Outlet 22,26.74,Debit,2025,1,2,3,2025-01,Other,3,0.1531177185557106,False
2025-02-04,INTERNET CHARGES,59.22,Debit,2025,2,4,1,2025-02,Utilities,4,0.08530599527094973,False
2025-02-21,UBER TRIP 284922 CA,16.56,Debit,2025,2,21,4,2025-02,Transport,3,0.10220954490745371,False
2025-03-17,ZARA MALL 09,166.96,Debit,2025,3,17,0,2025-03,Shopping,4,0.07218146240567114,False
2025-02-01,ELECTRIC BILL,126.71,Debit,2025,2,1,5,2025-02,Utilities,3,0.07409294768236585,False
2025-01-25,CINEMA CITY,33.7,Debit,2025,1,25,5,2025-01,Other,3,0.13409225844602157,False
2025-02-03,WATER BILL,170.66,Debit,2025,2,3,0,2025-02,Utilities,4,0.03441352753025195,False
2025-12-02,McDonalds #8492,30.59,Debit,2025,12,2,1,2025-12,Food,0,-0.09774101753279107,True
2025-01-21,ZARA MALL 09,91.68,Debit,2025,1,21,1,2025-01,Shopping,4,0.1061945995647442,False
2025-03-05,STEAM PURCHASE,62.32,Debit,2025,3,5,2,2025-03,Other,4,0.1705808051312811,False
2025-02-25,Starbucks Store 0032,21.09,Debit,2025,2,25,1,2025-02,Food,1,0.10459898663779887,False
2025-02-01,YELLOW CAB CO,37.02,Debit,2025,2,1,5,2025-02,Transport,3,0.10997457346591394,False
2025-01-03,ELECTRIC BILL,150.15,Debit,2025,1,3,4,2025-01,Utilities,3,0.053739985155240144,False
2025-02-05,ELECTRIC BILL,146.23,Debit,2025,2,5,2,2025-02,Utilities,4,0.08804325221736103,False
2025-03-25,Dominos Pizza,30.23,Debit,2025,3,25,1,2025-03,Other,4,0.1611856651788306,False
2025-02-10,Dominos Pizza,20.02,Debit,2025,2,10,0,2025-02,Other,4,0.11782888536429575,False
2025-01-31,METRO TICKET,9.37,Debit,2025,1,31,4,2025-01,Other,3,0.136830510585483,False
2025-02-13,PAYPAL *SPOTIFY,31.98,Debit,2025,2,13,3,2025-02,Entertainment,1,0.0879739320625273,False
2025-02-12,PAYPAL *SPOTIFY,56.25,Debit,2025,2,12,2,2025-02,Entertainment,1,0.10073668152118148,False
2025-02-03,STEAM PURCHASE,26.08,Debit,2025,2,3,0,2025-02,Other,4,0.12281311839884734,False
2025-01-15,GAS COMPANY,165.93,Debit,2025,1,15,2,2025-01,Other,4,0.08367707617917602,False
2025-04-01,Netflix.com,39.94,Debit,2025,4,1,1,2025-04,Entertainment,1,0.04232627860132121,False
2025-03-15,INTERNET CHARGES,105.44,Debit,2025,3,15,5,2025-03,Utilities,3,0.07402076944294644,False
2025-01-10,H&M STORE 42,218.21,Debit,2025,1,10,4,2025-01,Shopping,3,0.07438899495211182,False
2025-01-24,H&M STORE 42,68.79,Debit,2025,1,24,4,2025-01,Shopping,3,0.11264279103427771,False
2025-02-19,WM SUPERCENTER #382,132.09,Debit,2025,2,19,2,2025-02,Other,4,0.15276308877327588,False
2025-02-23,ELECTRIC BILL,109.73,Debit,2025,2,23,6,2025-02,Utilities,3,0.04931654074945391,False
2025-01-29,ELECTRIC BILL,177.92,Debit,2025,1,29,2,2025-01,Utilities,4,0.03901503791456418,False
2025-03-26,LOCAL GROCERY MART,141.84,Debit,2025,3,26,2,2025-03,Other,4,0.14035424101972538,False
2025-02-11,GAS COMPANY,42.73,Debit,2025,2,11,1,2025-02,Other,4,0.1674361145682512,False
2025-03-02,AMAZON MKTP US*2R9,104.72,Debit,2025,3,2,6,2025-03,Shopping,3,0.10183012914507072,False
2025-11-03,ELECTRIC BILL,94.66,Debit,2025,11,3,0,2025-11,Utilities,0,-0.11177378353140177,True
2025-03-13,STEAM PURCHASE,19.15,Debit,2025,3,13,3,2025-03,Other,3,0.16776399094556216,False
2025-03-05,UNKNOWN TRANSACTION 999,1.0,Debit,2025,3,5,2,2025-03,Other,4,0.1466042700215333,False
2025-03-20,SPAR HYPERMARKET,128.82,Debit,2025,3,20,3,2025-03,Other,3,0.15113993302265893,False
2025-03-04,PAYPAL *SPOTIFY,40.15,Debit,2025,3,4,1,2025-03,Entertainment,1,0.10197929477326534,False
2025-03-09,PAYPAL *SPOTIFY,53.93,Debit,2025,3,9,6,2025-03,Entertainment,1,0.06014619618095751,False
2025-02-26,Dominos Pizza,8.43,Debit,2025,2,26,2,2025-02,Other,4,0.15324874229602697,False
2025-02-10,H&M STORE 42,159.43,Debit,2025,2,10,0,2025-02,Shopping,4,0.08366639476131438,False
2025-01-07,SPAR HYPERMARKET,87.75,Debit,2025,1,7,1,2025-01,Other,4,0.12568440980835333,False
2025-02-07,Local Diner,31.16,Debit,2025,2,7,4,2025-02,Food,1,0.10355016048447568,False
2025-04-01,STEAM PURCHASE,30.83,Debit,2025,4,1,1,2025-04,Other,4,0.09787949482511693,False
2025-01-16,GAS COMPANY,51.03,Debit,2025,1,16,3,2025-01,Other,3,0.15524859534305374,False
2025-02-27,INTERNET CHARGES,160.99,Debit,2025,2,27,3,2025-02,Utilities,3,0.07766028629645005,False
2025-03-02,UBER TRIP 284922 CA,54.27,Debit,2025,3,2,6,2025-03,Transport,3,0.09517583929895157,False
2025-04-01,GAS COMPANY,118.53,Debit,2025,4,1,1,2025-04,Other,4,0.07795371843704857,False
2025-01-30,APPLE STORE #R1234,204.44,Debit,2025,1,30,3,2025-01,Shopping,3,0.08438355102661443,False
2025-02-23,TARGET T-2812,114.98,Debit,2025,2,23,6,2025-02,Shopping,3,0.09624242162204649,False
2025-02-10,WATER BILL,95.01,Debit,2025,2,10,0,2025-02,Utilities,4,0.045034275093550624,False
2025-03-07,WATER BILL,85.92,Debit,2025,3,7,4,2025-03,Utilities,3,0.0822741762355505,False
2025-02-18,PAYPAL *SPOTIFY,52.32,Debit,2025,2,18,1,2025-02,Entertainment,1,0.09138922107927261,False
2025-02-01,Local Diner,14.97,Debit,2025,2,1,5,2025-02,Food,1,0.08698554650393697,False
2025-02-10,WATER BILL,131.76,Debit,2025,2,10,0,2025-02,Utilities,4,0.051608961140923615,False
2025-01-21,GAS COMPANY,131.4,Debit,2025,1,21,1,2025-01,Other,4,0.10537645229581172,False
2025-01-26,LYFT RIDE PGH,48.9,Debit,2025,1,26,6,2025-01,Transport,3,0.06613878198576884,False
2025-02-27,Dominos Pizza,12.75,Debit,2025,2,27,3,2025-02,Other,3,0.1594882586410833,False
2025-03-08,STEAM PURCHASE,11.62,Debit,2025,3,8,5,2025-03,Other,3,0.1419406494756028,False
2025-04-01,COSTCO WHOLESALE,79.44,Debit,2025,4,1,1,2025-04,Other,4,0.09326338741583323,False
2025-02-17,PAYPAL *SPOTIFY,48.06,Debit,2025,2,17,0,2025-02,Entertainment,1,0.07417880163713375,False
2025-03-17,CINEMA CITY,31.21,Debit,2025,3,17,0,2025-03,Other,4,0.12766747260654338,False
2025-01-29,AMAZON MKTP US*2R9,199.68,Debit,2025,1,29,2,2025-01,Shopping,4,0.07043873407992551,False
2025-02-27,LOCAL GROCERY MART,118.97,Debit,2025,2,27,3,2025-02,Other,3,0.16355966761920482,False
2025-02-19,H&M STORE 42,198.13,Debit,2025,2,19,2,2025-02,Shopping,4,0.10322052991670011,False
2025-01-13,LOCAL GROCERY MART,130.94,Debit,2025,1,13,0,2025-01,Other,4,0.07188250808539531,False
2025-06-03,METRO TICKET,22.19,Debit,2025,6,3,1,2025-06,Other,0,0.03909548611887548,False
2025-01-23,SHELL STATION #221,52.52,Debit,2025,1,23,3,2025-01,Other,3,0.1554149204731753,False
2025-01-20,STEAM PURCHASE,55.15,Debit,2025,1,20,0,2025-01,Other,4,0.0866680624926559,False
2025-02-02,WM SUPERCENTER #382,118.23,Debit,2025,2,2,6,2025-02,Other,3,0.10791387933105889,False
2025-02-08,APPLE STORE #R1234,153.38,Debit,2025,2,8,5,2025-02,Shopping,3,0.10592468869402238,False
2025-03-12,PAYPAL *SPOTIFY,27.61,Debit,2025,3,12,2,2025-03,Entertainment,1,0.09714080626546173,False
2025-09-02,SHELL STATION #221,27.19,Debit,2025,9,2,1,2025-09,Other,0,-0.006321196715872501,True
2025-03-23,METRO TICKET,13.33,Debit,2025,3,23,6,2025-03,Other,3,0.11408139072102386,False
2025-01-08,ELECTRIC BILL,172.66,Debit,2025,1,8,2,2025-01,Utilities,4,0.049618344183759544,False
2025-01-18,PAYPAL *SPOTIFY,9.99,Debit,2025,1,18,5,2025-01,Entertainment,1,0.015775296058013533,False
2025-10-01,STEAM PURCHASE,41.54,Debit,2025,10,1,2,2025-10,Other,0,-0.03196164652925659,True
2025-02-13,ZARA MALL 09,222.47,Debit,2025,2,13,3,2025-02,Shopping,3,0.10261200120212266,False
2025-01-17,LOCAL GROCERY MART,82.15,Debit,2025,1,17,4,2025-01,Other,3,0.14327641597347152,False
2025-03-16,APPLE STORE #R1234,54.06,Debit,2025,3,16,6,2025-03,Shopping,3,0.12010596845812371,False
2025-01-18,GAS COMPANY,103.51,Debit,2025,1,18,5,2025-01,Other,3,0.11432965572400489,False
2025-01-08,INTERNET CHARGES,48.0,Debit,2025,1,8,2,2025-01,Utilities,4,0.07233464102011544,False
2025-01-30,Starbucks Store 0032,18.3,Debit,2025,1,30,3,2025-01,Food,1,0.07824354521420446,False
2025-03-19,ELECTRIC BILL,169.98,Debit,2025,3,19,2,2025-03,Utilities,4,0.05340567383851125,False
2025-02-17,GAS COMPANY,138.27,Debit,2025,2,17,0,2025-02,Other,4,0.09395851464819838,False
2025-01-01,Local Diner,31.99,Debit,2025,1,1,2,2025-01,Food,1,0.08792063264671707,False
2025-02-11,SHELL STATION #221,45.5,Debit,2025,2,11,1,2025-02,Other,4,0.1672576891548075,False
2025-03-12,TARGET T-2812,64.12,Debit,2025,3,12,2,2025-03,Shopping,4,0.13991820473989935,False
2025-03-06,McDonalds #8492,6.37,Debit,2025,3,6,3,2025-03,Food,1,0.08078523207973476,False
2025-03-02,TARGET T-2812,104.6,Debit,2025,3,2,6,2025-03,Shopping,3,0.10183012914507072,False
2025-02-04,INTERNET CHARGES,55.62,Debit,2025,2,4,1,2025-02,Utilities,4,0.08920385176737211,False
2025-01-15,Netflix.com,61.39,Debit,2025,1,15,2,2025-01,Entertainment,1,0.05538971028597728,False
2025-02-15,Netflix.com Subscription,15.99,Debit,2025,2,15,5,2025-02,Entertainment,1,0.04671518633323968,False
2025-01-05,WATER BILL,135.07,Debit,2025,1,5,6,2025-01,Utilities,3,0.02533844065996871,False
2025-03-14,APPLE STORE #R1234,39.54,Debit,2025,3,14,4,2025-03,Shopping,3,0.12902662467917447,False
2025-02-15,SPAR HYPERMARKET,133.51,Debit,2025,2,15,5,2025-02,Other,3,0.12296226344204347,False
2025-02-14,LOCAL GROCERY MART,93.99,Debit,2025,2,14,4,2025-02,Other,3,0.15061710153602642,False
2025-02-01,COSTCO WHOLESALE,76.25,Debit,2025,2,1,5,2025-02,Other,3,0.14388290882589466,False
2025-02-04,WM SUPERCENTER #382,51.37,Debit,2025,2,4,1,2025-02,Other,4,0.16670956470310133,False
2025-02-09,Netflix.com,53.99,Debit,2025,2,9,6,2025-02,Entertainment,1,0.04257951373415014,False
2025-02-22,CINEMA CITY,36.97,Debit,2025,2,22,5,2025-02,Other,3,0.1590954279085099,False
2025-02-03,PAYPAL *SPOTIFY,61.37,Debit,2025,2,3,0,2025-02,Entertainment,1,0.05753132948093598,False
2025-03-19,LYFT RIDE PGH,53.4,Debit,2025,3,19,2,2025-03,Transport,4,0.11015620549486488,False
2025-02-17,Netflix.com,56.59,Debit,2025,2,17,0,2025-02,Entertainment,1,0.06782745076734398,False
2025-03-24,Netflix.com,51.86,Debit,2025,3,24,0,2025-03,Entertainment,1,0.0659808495949401,False
2025-01-21,Starbucks Store 0032,19.3,Debit,2025,1,21,1,2025-01,Food,1,0.0820564396161087,False
2025-03-16,CINEMA CITY,35.43,Debit,2025,3,16,6,2025-03,Other,3,0.1399301241804981,False
2025-02-23,WM SUPERCENTER #382,50.85,Debit,2025,2,23,6,2025-02,Other,3,0.13470132171574356,False
2025-01-12,COSTCO WHOLESALE,105.21,Debit,2025,1,12,6,2025-01,Other,3,0.07919854376061436,False
2025-01-07,STEAM PURCHASE,67.96,Debit,2025,1,7,1,2025-01,Other,4,0.13407116466222413,False
2025-03-13,ZARA MALL 09,86.19,Debit,2025,3,13,3,2025-03,Shopping,3,0.14053662889156798,False
2025-04-01,SPAR HYPERMARKET,61.19,Debit,2025,4,1,1,2025-04,Other,4,0.10023513016143965,False
2025-02-13,APPLE STORE #R1234,179.32,Debit,2025,2,13,3,2025-02,Shopping,3,0.12876886766429435,False
2025-05-03,AMAZON MKTP US*2R9,42.35,Debit,2025,5,3,5,2025-05,Shopping,3,0.025318209228035293,False
2025-01-12,SPAR HYPERMARKET,68.5,Debit,2025,1,12,6,2025-01,Other,3,0.09614232069250345,False
2025-01-17,GAS COMPANY,61.6,Debit,2025,1,17,4,2025-01,Other,3,0.15121156804685315,False
2025-01-26,Netflix.com,50.63,Debit,2025,1,26,6,2025-01,Entertainment,1,-0.00010731617776782443,True
2025-02-22,COSTCO WHOLESALE,36.79,Debit,2025,2,22,5,2025-02,Other,3,0.1590954279085099,False
2025-01-13,PAYPAL *SPOTIFY,78.68,Debit,2025,1,13,0,2025-01,Entertainment,1,-0.003142201048059401,True
2025-03-27,LOCAL GROCERY MART,79.76,Debit,2025,3,27,3,2025-03,Other,3,0.16867189312046516,False
2025-01-06,YELLOW CAB CO,26.96,Debit,2025,1,6,0,2025-01,Transport,4,0.044230745976953534,False
2025-01-23,H&M STORE 42,229.79,Debit,2025,1,23,3,2025-01,Shopping,3,0.06953608239009557,False
2025-01-05,AMAZON MKTP US*2R9,157.21,Debit,2025,1,5,6,2025-01,Shopping,3,0.0515928246547932,False
2025-02-07,INTERNET CHARGES,43.07,Debit,2025,2,7,4,2025-02,Utilities,3,0.07565975695368532,False
2025-02-20,Starbucks Store 0032,400.0,Debit,2025,2,20,3,2025-02,Food,1,0.009529242330099885,False
2025-02-02,McDonalds #8492,27.23,Debit,2025,2,2,6,2025-02,Food,1,0.0694100795929865,False
2025-06-01,LYFT RIDE PGH,54.06,Debit,2025,6,1,6,2025-06,Transport,3,-0.01271040182522254,True
2025-01-18,INTERNET CHARGES,95.72,Debit,2025,1,18,5,2025-01,Utilities,3,0.053857467174533546,False
2025-05-02,ELECTRIC BILL,58.01,Debit,2025,5,2,4,2025-05,Utilities,3,-0.00020266696839521536,True
2025-03-24,UBER TRIP 284922 CA,41.04,Debit,2025,3,24,0,2025-03,Transport,4,0.0800736784685196,False
2025-01-06,Starbucks Store 0032,9.8,Debit,2025,1,6,0,2025-01,Food,1,0.024718831759283355,False
2025-01-19,WATER BILL,104.56,Debit,2025,1,19,6,2025-01,Utilities,3,0.035666586635123676,False
2025-01-01,TARGET T-2812,220.07,Debit,2025,1,1,2,2025-01,Shopping,4,0.06158431534862652,False
2025-01-10,WATER BILL,176.13,Debit,2025,1,10,4,2025-01,Utilities,3,0.03758213970528257,False
2025-03-03,WATER BILL,47.96,Debit,2025,3,3,0,2025-03,Utilities,4,0.03263540339946813,False
2025-02-24,LOCAL GROCERY MART,35.84,Debit,2025,2,24,0,2025-02,Other,4,0.12243495161100787,False
2025-01-31,STEAM PURCHASE,51.96,Debit,2025,1,31,4,2025-01,Other,3,0.15242393919719427,False
2025-03-24,Netflix.com,30.24,Debit,2025,3,24,0,2025-03,Entertainment,1,0.05886614700135284,False
2025-03-21,STEAM PURCHASE,18.64,Debit,2025,3,21,4,2025-03,Other,3,0.16094653484523735,False
2025-02-08,SPAR HYPERMARKET,63.17,Debit,2025,2,8,5,2025-02,Other,3,0.14818846026480975,False
2025-02-18,INTERNET CHARGES,127.75,Debit,2025,2,18,1,2025-02,Utilities,4,0.07675239297788872,False
2025-02-25,H&M STORE 42,26.68,Debit,2025,2,25,1,2025-02,Shopping,4,0.12948851459759553,False
2025-03-23,CINEMA CITY,14.72,Debit,2025,3,23,6,2025-03,Other,3,0.12272724791886641,False
2025-03-25,Local Diner,14.56,Debit,2025,3,25,1,2025-03,Food,1,0.09325759279528895,False
2025-01-04,LYFT RIDE PGH,49.27,Debit,2025,1,4,5,2025-01,Transport,3,0.09201669638722021,False
2025-03-13,COSTCO WHOLESALE,111.33,Debit,2025,3,13,3,2025-03,Other,3,0.15789565673782835,False
2025-11-01,GAS COMPANY,161.87,Debit,2025,11,1,5,2025-11,Other,0,-0.08616500319628029,True
2025-03-28,STEAM PURCHASE,45.94,Debit,2025,3,28,4,2025-03,Other,3,0.16417585527374512,False
2025-03-10,COSTCO WHOLESALE,120.23,Debit,2025,3,10,0,2025-03,Other,4,0.10641038255439744,False
2025-03-11,ZARA MALL 09,175.45,Debit,2025,3,11,1,2025-03,Shopping,4,0.09394960746019798,False
2025-01-21,INTERNET CHARGES,92.2,Debit,2025,1,21,1,2025-01,Utilities,4,0.0669016990417205,False
2025-03-01,INTERNET CHARGES,175.95,Debit,2025,3,1,5,2025-03,Utilities,3,0.03980756349839787,False
2025-02-24,Netflix.com,39.0,Debit,2025,2,24,0,2025-02,Entertainment,1,0.07390484035547784,False
2025-03-07,PAYPAL *SPOTIFY,59.74,Debit,2025,3,7,4,2025-03,Entertainment,1,0.06910425353731398,False
2025-02-11,COSTCO WHOLESALE,25.85,Debit,2025,2,11,1,2025-02,Other,4,0.1598535271643114,False
2025-02-17,H&M STORE 42,195.51,Debit,2025,2,17,0,2025-02,Shopping,4,0.052194036255330034,False
2025-01-15,Netflix.com Subscription,15.99,Debit,2025,1,15,2,2025-01,Entertainment,1,0.05541306737437879,False
2025-03-27,Local Diner,26.81,Debit,2025,3,27,3,2025-03,Food,1,0.11185768756552972,False
2025-03-04,WM SUPERCENTER #382,97.13,Debit,2025,3,4,1,2025-03,Other,4,0.14708203008591353,False
2025-01-11,WATER BILL,61.12,Debit,2025,1,11,5,2025-01,Utilities,3,0.05533148939862376,False
2025-01-06,SPAR HYPERMARKET,147.63,Debit,2025,1,6,0,2025-01,Other,4,0.055483261000082496,False
2025-03-31,METRO TICKET,25.69,Debit,2025,3,31,0,2025-03,Other,4,0.12693099494316668,False
2025-02-08,INTERNET CHARGES,111.02,Debit,2025,2,8,5,2025-02,Utilities,3,0.07883161625211077,False
2025-03-10,LYFT RIDE PGH,16.5,Debit,2025,3,10,0,2025-03,Transport,4,0.06749700663500413,False
2025-01-02,H&M STORE 42,209.14,Debit,2025,1,2,3,2025-01,Shopping,3,0.08264486778907348,False
2025-03-19,METRO TICKET,9.81,Debit,2025,3,19,2,2025-03,Other,4,0.15471649202114635,False
2025-01-07,WM SUPERCENTER #382,32.58,Debit,2025,1,7,1,2025-01,Other,4,0.140839674147118,False
2025-02-27,WM SUPERCENTER #382,138.23,Debit,2025,2,27,3,2025-02,Other,3,0.1507604895560195,False
2025-02-14,Dominos Pizza,17.86,Debit,2025,2,14,4,2025-02,Other,3,0.16254108039063442,False
2025-03-28,PAYPAL *SPOTIFY,76.6,Debit,2025,3,28,4,2025-03,Entertainment,1,0.04628891158770121,False
2025-01-31,AMAZON MKTP US*2R9,197.45,Debit,2025,1,31,4,2025-01,Shopping,3,0.08451199361240569,False
2025-01-31,APPLE STORE #R1234,94.47,Debit,2025,1,31,4,2025-01,Shopping,3,0.11606407257770401,False
2025-03-17,LYFT RIDE PGH,8.37,Debit,2025,3,17,0,2025-03,Transport,4,0.04742726792427798,False
2025-02-28,ZARA MALL 09,173.37,Debit,2025,2,28,4,2025-02,Shopping,3,0.11084631950918444,False
2025-01-02,SHELL STATION #221,36.03,Debit,2025,1,2,3,2025-01,Other,3,0.15472751902488474,False
