date,description,amount,transaction_type,Category,Label,year,month,day,day_of_week,year_month,base_category,cluster_id,is_anomaly,anomaly_score
2025-02-12,PAYPAL *SPOTIFY,17.91,Debit,Entertainment,Normal,2025,2,12,2,2025-02,Entertainment,4,False,-0.5104361246056489
2025-03-03,GAS COMPANY,100.98,Debit,Utilities,Normal,2025,3,3,0,2025-03,Other,2,False,-0.5036965736775838
2025-02-24,McDonalds #8492,11.16,Debit,Food,Normal,2025,2,24,0,2025-02,Food,4,False,-0.5327691582321669
2025-02-10,PAYPAL *SPOTIFY,39.66,Debit,Entertainment,Normal,2025,2,10,0,2025-02,Entertainment,4,False,-0.5097208103969617
2025-01-16,INTERNET CHARGES,148.5,Debit,Utilities,Normal,2025,1,16,3,2025-01,Utilities,0,False,-0.5449669255513596
2025-03-19,SHELL STATION #221,58.11,Debit,Transport,Normal,2025,3,19,2,2025-03,Other,2,False,-0.43109474550733085
2025-03-31,LOCAL GROCERY MART,106.15,Debit,Groceries,Normal,2025,3,31,0,2025-03,Other,2,False,-0.504574297041264
2025-01-11,CINEMA CITY,69.37,Debit,Entertainment,Normal,2025,1,11,5,2025-01,Other,0,False,-0.48230165434552263
2025-02-12,LOCAL GROCERY MART,133.04,Debit,Groceries,Normal,2025,2,12,2,2025-02,Other,2,False,-0.4524296271666403
2025-03-22,LYFT RIDE PGH,21.76,Debit,Transport,Normal,2025,3,22,5,2025-03,Transport,1,False,-0.508557761621001
2025-01-13,ELECTRIC BILL,115.27,Debit,Utilities,Normal,2025,1,13,0,2025-01,Utilities,0,False,-0.5651049613979515
2025-03-07,WATER BILL,166.83,Debit,Utilities,Normal,2025,3,7,4,2025-03,Utilities,1,False,-0.5523038797701613
2025-02-11,GAS COMPANY,113.57,Debit,Utilities,Normal,2025,2,11,1,2025-02,Other,2,False,-0.4527159505659831
2025-02-25,UBER TRIP 284922 CA,57.21,Debit,Transport,Normal,2025,2,25,1,2025-02,Transport,2,False,-0.47993154893889
2025-02-26,ELECTRIC BILL,135.24,Debit,Utilities,Normal,2025,2,26,2,2025-02,Utilities,2,False,-0.49896318726922756
2025-01-07,PAYPAL *SPOTIFY,18.74,Debit,Entertainment,Normal,2025,1,7,1,2025-01,Entertainment,4,False,-0.570174395954626
2025-01-06,TARGET T-2812,110.91,Debit,Shopping,Normal,2025,1,6,0,2025-01,Shopping,0,False,-0.541238607159179
2025-02-24,Netflix.com,35.7,Debit,Entertainment,Normal,2025,2,24,0,2025-02,Entertainment,4,False,-0.5111237299519216
2025-02-07,UBER TRIP 284922 CA,8.48,Debit,Transport,Normal,2025,2,7,4,2025-02,Transport,1,False,-0.5086517622623756
2025-02-09,APPLE STORE #R1234,111.59,Debit,Shopping,Normal,2025,2,9,6,2025-02,Shopping,1,False,-0.5146408382417598
2025-03-25,UBER TRIP 284922 CA,17.21,Debit,Transport,Normal,2025,3,25,1,2025-03,Transport,2,False,-0.5091710556127133
2025-01-20,McDonalds #8492,31.41,Debit,Food,Normal,2025,1,20,0,2025-01,Food,4,False,-0.5560381113564231
2025-01-29,COSTCO WHOLESALE,127.07,Debit,Groceries,Normal,2025,1,29,2,2025-01,Other,0,False,-0.4841028932382618
2025-03-18,PAYPAL *SPOTIFY,9.99,Debit,Entertainment,Recurring,2025,3,18,1,2025-03,Entertainment,4,False,-0.5385947474074168
2025-03-18,INTERNET CHARGES,177.27,Debit,Utilities,Normal,2025,3,18,1,2025-03,Utilities,2,False,-0.5565362420627998
2025-02-19,LYFT RIDE PGH,55.94,Debit,Transport,Normal,2025,2,19,2,2025-02,Transport,2,False,-0.47007793672874576
2025-01-11,WATER BILL,49.59,Debit,Utilities,Normal,2025,1,11,5,2025-01,Utilities,0,False,-0.5325633336067147
2025-03-01,GAS COMPANY,47.59,Debit,Utilities,Normal,2025,3,1,5,2025-03,Other,1,False,-0.4431960077708702
2025-02-21,TARGET T-2812,194.95,Debit,Shopping,Normal,2025,2,21,4,2025-02,Shopping,1,False,-0.49726115244272495
2025-01-18,SPAR HYPERMARKET,47.72,Debit,Groceries,Normal,2025,1,18,5,2025-01,Other,0,False,-0.4646648250286441
2025-03-10,COSTCO WHOLESALE,86.03,Debit,Groceries,Normal,2025,3,10,0,2025-03,Other,2,False,-0.496060411145288
2025-02-08,ELECTRIC BILL,171.45,Debit,Utilities,Normal,2025,2,8,5,2025-02,Utilities,1,False,-0.5387237182913487
2025-02-05,WATER BILL,127.5,Debit,Utilities,Normal,2025,2,5,2,2025-02,Utilities,2,False,-0.4987330987709536
2025-03-12,WM SUPERCENTER #382,81.85,Debit,Groceries,Normal,2025,3,12,2,2025-03,Other,2,False,-0.44237703368827896
2025-03-15,Netflix.com Subscription,15.99,Debit,Entertainment,Recurring,2025,3,15,5,2025-03,Entertainment,4,False,-0.5439270257874205
2025-02-01,SHELL STATION #221,29.43,Debit,Transport,Normal,2025,2,1,5,2025-02,Other,1,False,-0.4415243081416489
2025-01-15,McDonalds #8492,26.96,Debit,Food,Normal,2025,1,15,2,2025-01,Food,4,False,-0.510077211323057
2025-02-06,KFC Outlet 22,25.91,Debit,Food,Normal,2025,2,6,3,2025-02,Other,0,False,-0.4245709247621174
2025-01-21,McDonalds #8492,11.08,Debit,Food,Normal,2025,1,21,1,2025-01,Food,4,False,-0.539559782128655
2025-03-24,SPAR HYPERMARKET,42.86,Debit,Groceries,Normal,2025,3,24,0,2025-03,Other,2,False,-0.4752664296655987
2025-03-16,Starbucks Store 0032,37.51,Debit,Food,Normal,2025,3,16,6,2025-03,Food,1,False,-0.5406362589533851
2025-03-09,GAS COMPANY,164.5,Debit,Utilities,Normal,2025,3,9,6,2025-03,Other,1,False,-0.5552049471938758
2025-02-21,CINEMA CITY,40.66,Debit,Entertainment,Normal,2025,2,21,4,2025-02,Other,1,False,-0.43085283511284195
2025-02-04,YELLOW CAB CO,24.62,Debit,Transport,Normal,2025,2,4,1,2025-02,Transport,2,False,-0.48444160090836597
2025-03-30,LOCAL GROCERY MART,82.1,Debit,Groceries,Normal,2025,3,30,6,2025-03,Other,1,False,-0.48766662128639604
2025-01-11,LYFT RIDE PGH,45.44,Debit,Transport,Normal,2025,1,11,5,2025-01,Transport,0,False,-0.5101412752501678
2025-02-16,GAS COMPANY,127.56,Debit,Utilities,Normal,2025,2,16,6,2025-02,Other,1,False,-0.5166538819700995
2025-01-25,COSTCO WHOLESALE,150.0,Debit,Groceries,Normal,2025,1,25,5,2025-01,Other,0,False,-0.5178262838063951
2025-01-02,KFC Outlet 22,26.74,Debit,Food,Normal,2025,1,2,3,2025-01,Other,0,False,-0.4555848411932555
2025-02-04,INTERNET CHARGES,59.22,Debit,Utilities,Normal,2025,2,4,1,2025-02,Utilities,2,False,-0.5105261752040586
2025-02-21,UBER TRIP 284922 CA,16.56,Debit,Transport,Normal,2025,2,21,4,2025-02,Transport,1,False,-0.4876673562814695
2025-03-17,ZARA MALL 09,166.96,Debit,Shopping,Normal,2025,3,17,0,2025-03,Shopping,2,False,-0.537029922941372
2025-02-01,ELECTRIC BILL,126.71,Debit,Utilities,Normal,2025,2,1,5,2025-02,Utilities,1,False,-0.5346160791071566
2025-01-25,CINEMA CITY,33.7,Debit,Entertainment,Normal,2025,1,25,5,2025-01,Other,0,False,-0.47010194854416343
2025-02-03,WATER BILL,170.66,Debit,Utilities,Normal,2025,2,3,0,2025-02,Utilities,2,False,-0.5598461034638036
2025-02-12,McDonalds #8492,30.59,Debit,Food,Normal,2025,2,12,2,2025-02,Food,4,False,-0.48000890373682364
2025-01-21,ZARA MALL 09,91.68,Debit,Shopping,Normal,2025,1,21,1,2025-01,Shopping,0,False,-0.5016067648646206
2025-03-05,STEAM PURCHASE,62.32,Debit,Entertainment,Normal,2025,3,5,2,2025-03,Other,2,False,-0.4310770875464241
2025-02-25,Starbucks Store 0032,21.09,Debit,Food,Normal,2025,2,25,1,2025-02,Food,4,False,-0.49221167129448096
2025-02-01,YELLOW CAB CO,37.02,Debit,Transport,Normal,2025,2,1,5,2025-02,Transport,1,False,-0.48840432581305543
2025-01-03,ELECTRIC BILL,150.15,Debit,Utilities,Normal,2025,1,3,4,2025-01,Utilities,0,False,-0.5462133503151315
2025-02-05,ELECTRIC BILL,146.23,Debit,Utilities,Normal,2025,2,5,2,2025-02,Utilities,2,False,-0.5052811944208552
2025-03-25,Dominos Pizza,30.23,Debit,Food,Normal,2025,3,25,1,2025-03,Other,2,False,-0.4471736517674144
2025-02-10,Dominos Pizza,20.02,Debit,Food,Normal,2025,2,10,0,2025-02,Other,2,False,-0.47333904208351474
2025-01-31,METRO TICKET,9.37,Debit,Transport,Normal,2025,1,31,4,2025-01,Other,0,False,-0.47204352787233145
2025-02-13,PAYPAL *SPOTIFY,31.98,Debit,Entertainment,Normal,2025,2,13,3,2025-02,Entertainment,4,False,-0.5094403449514453
2025-02-12,PAYPAL *SPOTIFY,56.25,Debit,Entertainment,Normal,2025,2,12,2,2025-02,Entertainment,4,False,-0.4960982488051354
2025-02-03,STEAM PURCHASE,26.08,Debit,Entertainment,Normal,2025,2,3,0,2025-02,Other,2,False,-0.4637281508786511
2025-01-15,GAS COMPANY,165.93,Debit,Utilities,Normal,2025,1,15,2,2025-01,Other,0,False,-0.5078859294620498
2025-04-01,Netflix.com,39.94,Debit,Entertainment,Normal,2025,4,1,1,2025-04,Entertainment,4,True,-0.6394871531775106
2025-03-15,INTERNET CHARGES,105.44,Debit,Utilities,Normal,2025,3,15,5,2025-03,Utilities,1,False,-0.5480300226828873
2025-01-10,H&M STORE 42,218.21,Debit,Shopping,Normal,2025,1,10,4,2025-01,Shopping,0,False,-0.5293198265372131
2025-01-24,H&M STORE 42,68.79,Debit,Shopping,Normal,2025,1,24,4,2025-01,Shopping,0,False,-0.4872196963268602
2025-02-19,WM SUPERCENTER #382,132.09,Debit,Groceries,Normal,2025,2,19,2,2025-02,Other,2,False,-0.4524296271666403
2025-02-23,ELECTRIC BILL,109.73,Debit,Utilities,Normal,2025,2,23,6,2025-02,Utilities,1,False,-0.5555204322776526
2025-01-29,ELECTRIC BILL,177.92,Debit,Utilities,Normal,2025,1,29,2,2025-01,Utilities,0,False,-0.545488731374745
2025-03-26,LOCAL GROCERY MART,141.84,Debit,Groceries,Normal,2025,3,26,2,2025-03,Other,2,False,-0.4697226610400523
2025-02-11,GAS COMPANY,42.73,Debit,Utilities,Normal,2025,2,11,1,2025-02,Other,2,False,-0.4307366913277638
2025-03-02,AMAZON MKTP US*2R9,104.72,Debit,Shopping,Normal,2025,3,2,6,2025-03,Shopping,1,False,-0.5164098042765893
2025-03-11,ELECTRIC BILL,94.66,Debit,Utilities,Normal,2025,3,11,1,2025-03,Utilities,2,False,-0.5245575990950221
2025-03-13,STEAM PURCHASE,19.15,Debit,Entertainment,Normal,2025,3,13,3,2025-03,Other,2,False,-0.43573118337111255
2025-03-05,UNKNOWN TRANSACTION 999,1.0,Debit,Uncategorized,Anomaly,2025,3,5,2,2025-03,Other,2,False,-0.46936099126707687
2025-03-20,SPAR HYPERMARKET,128.82,Debit,Groceries,Normal,2025,3,20,3,2025-03,Other,2,False,-0.4502882629144079
2025-03-04,PAYPAL *SPOTIFY,40.15,Debit,Entertainment,Normal,2025,3,4,1,2025-03,Entertainment,4,False,-0.5054533750411923
2025-03-09,PAYPAL *SPOTIFY,53.93,Debit,Entertainment,Normal,2025,3,9,6,2025-03,Entertainment,4,False,-0.5415181362263944
2025-02-26,Dominos Pizza,8.43,Debit,Food,Normal,2025,2,26,2,2025-02,Other,2,False,-0.4580129624287455
2025-02-10,H&M STORE 42,159.43,Debit,Shopping,Normal,2025,2,10,0,2025-02,Shopping,2,False,-0.5061474228238116
2025-01-07,SPAR HYPERMARKET,87.75,Debit,Groceries,Normal,2025,1,7,1,2025-01,Other,0,False,-0.4745398167162273
2025-02-07,Local Diner,31.16,Debit,Food,Normal,2025,2,7,4,2025-02,Food,4,False,-0.48928194261987823
2025-04-01,STEAM PURCHASE,30.83,Debit,Entertainment,Normal,2025,4,1,1,2025-04,Other,2,True,-0.6137854303815445
2025-01-16,GAS COMPANY,51.03,Debit,Utilities,Normal,2025,1,16,3,2025-01,Other,0,False,-0.4452233170914029
2025-02-27,INTERNET CHARGES,160.99,Debit,Utilities,Normal,2025,2,27,3,2025-02,Utilities,0,False,-0.5051529109464908
2025-02-03,UBER TRIP 284922 CA,54.27,Debit,Transport,Normal,2025,2,3,0,2025-02,Transport,2,False,-0.5079201883389252
2025-04-01,GAS COMPANY,118.53,Debit,Utilities,Normal,2025,4,1,1,2025-04,Other,2,True,-0.6280153227510539
2025-01-30,APPLE STORE #R1234,204.44,Debit,Shopping,Normal,2025,1,30,3,2025-01,Shopping,0,False,-0.5205333618573644
2025-02-23,TARGET T-2812,114.98,Debit,Shopping,Normal,2025,2,23,6,2025-02,Shopping,1,False,-0.5166164207037542
2025-02-10,WATER BILL,95.01,Debit,Utilities,Normal,2025,2,10,0,2025-02,Utilities,2,False,-0.5414400705974706
2025-03-07,WATER BILL,85.92,Debit,Utilities,Normal,2025,3,7,4,2025-03,Utilities,1,False,-0.5353942764402724
2025-02-18,PAYPAL *SPOTIFY,52.32,Debit,Entertainment,Normal,2025,2,18,1,2025-02,Entertainment,4,False,-0.504276098892882
2025-02-01,Local Diner,14.97,Debit,Food,Normal,2025,2,1,5,2025-02,Food,4,False,-0.511283060073841
2025-02-10,WATER BILL,131.76,Debit,Utilities,Normal,2025,2,10,0,2025-02,Utilities,2,False,-0.5333730896224465
2025-01-21,GAS COMPANY,131.4,Debit,Utilities,Normal,2025,1,21,1,2025-01,Other,0,False,-0.4948478117033599
2025-01-26,LYFT RIDE PGH,48.9,Debit,Transport,Normal,2025,1,26,6,2025-01,Transport,0,False,-0.5440616268013324
2025-02-27,Dominos Pizza,12.75,Debit,Food,Normal,2025,2,27,3,2025-02,Other,0,False,-0.44191407352072876
2025-03-08,STEAM PURCHASE,11.62,Debit,Entertainment,Normal,2025,3,8,5,2025-03,Other,1,False,-0.46620024380116937
2025-04-01,COSTCO WHOLESALE,79.44,Debit,Groceries,Normal,2025,4,1,1,2025-04,Other,2,True,-0.6129471786133245
2025-02-17,PAYPAL *SPOTIFY,48.06,Debit,Entertainment,Normal,2025,2,17,0,2025-02,Entertainment,4,False,-0.5117156342626266
2025-03-17,CINEMA CITY,31.21,Debit,Entertainment,Normal,2025,3,17,0,2025-03,Other,2,False,-0.4759246892682973
2025-01-29,AMAZON MKTP US*2R9,199.68,Debit,Shopping,Normal,2025,1,29,2,2025-01,Shopping,0,False,-0.5289851910284092
2025-02-27,LOCAL GROCERY MART,118.97,Debit,Groceries,Normal,2025,2,27,3,2025-02,Other,0,False,-0.4370241252020579
2025-02-19,H&M STORE 42,198.13,Debit,Shopping,Normal,2025,2,19,2,2025-02,Shopping,2,False,-0.49541106724915646
2025-01-13,LOCAL GROCERY MART,130.94,Debit,Groceries,Normal,2025,1,13,0,2025-01,Other,0,False,-0.5343762505180799
2025-03-06,METRO TICKET,22.19,Debit,Transport,Normal,2025,3,6,3,2025-03,Other,2,False,-0.4340725379030132
2025-01-23,SHELL STATION #221,52.52,Debit,Transport,Normal,2025,1,23,3,2025-01,Other,0,False,-0.44949429580266254
2025-01-20,STEAM PURCHASE,55.15,Debit,Entertainment,Normal,2025,1,20,0,2025-01,Other,0,False,-0.5053689033568298
2025-02-02,WM SUPERCENTER #382,118.23,Debit,Groceries,Normal,2025,2,2,6,2025-02,Other,1,False,-0.5073288606690504
2025-02-08,APPLE STORE #R1234,153.38,Debit,Shopping,Normal,2025,2,8,5,2025-02,Shopping,1,False,-0.4879561686132278
2025-03-12,PAYPAL *SPOTIFY,27.61,Debit,Entertainment,Normal,2025,3,12,2,2025-03,Entertainment,4,False,-0.5080070237690295
2025-02-09,SHELL STATION #221,27.19,Debit,Transport,Normal,2025,2,9,6,2025-02,Other,1,False,-0.4768492761738148
2025-03-23,METRO TICKET,13.33,Debit,Transport,Normal,2025,3,23,6,2025-03,Other,1,False,-0.49108934858650477
2025-01-08,ELECTRIC BILL,172.66,Debit,Utilities,Normal,2025,1,8,2,2025-01,Utilities,0,False,-0.5396033257638606
2025-01-18,PAYPAL *SPOTIFY,9.99,Debit,Entertainment,Recurring,2025,1,18,5,2025-01,Entertainment,4,True,-0.5956790842191574
2025-01-10,STEAM PURCHASE,41.54,Debit,Entertainment,Normal,2025,1,10,4,2025-01,Other,0,False,-0.4373182985936728
2025-02-13,ZARA MALL 09,222.47,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,0,False,-0.5095568820821412
2025-01-17,LOCAL GROCERY MART,82.15,Debit,Groceries,Normal,2025,1,17,4,2025-01,Other,0,False,-0.4673975517324101
2025-03-16,APPLE STORE #R1234,54.06,Debit,Shopping,Normal,2025,3,16,6,2025-03,Shopping,1,False,-0.5019383026115464
2025-01-18,GAS COMPANY,103.51,Debit,Utilities,Normal,2025,1,18,5,2025-01,Other,0,False,-0.4936926962570087
2025-01-08,INTERNET CHARGES,48.0,Debit,Utilities,Normal,2025,1,8,2,2025-01,Utilities,0,False,-0.5163897683428291
2025-01-30,Starbucks Store 0032,18.3,Debit,Food,Normal,2025,1,30,3,2025-01,Food,4,False,-0.5314260284356208
2025-03-19,ELECTRIC BILL,169.98,Debit,Utilities,Normal,2025,3,19,2,2025-03,Utilities,2,False,-0.5406376497110861
2025-02-17,GAS COMPANY,138.27,Debit,Utilities,Normal,2025,2,17,0,2025-02,Other,2,False,-0.5037829277597399
2025-01-01,Local Diner,31.99,Debit,Food,Normal,2025,1,1,2,2025-01,Food,4,False,-0.509816798935183
2025-02-11,SHELL STATION #221,45.5,Debit,Transport,Normal,2025,2,11,1,2025-02,Other,2,False,-0.4310919771261224
2025-03-12,TARGET T-2812,64.12,Debit,Shopping,Normal,2025,3,12,2,2025-03,Shopping,2,False,-0.46782564383977576
2025-03-06,McDonalds #8492,6.37,Debit,Food,Normal,2025,3,6,3,2025-03,Food,4,False,-0.5224009551421384
2025-03-02,TARGET T-2812,104.6,Debit,Shopping,Normal,2025,3,2,6,2025-03,Shopping,1,False,-0.5164098042765893
2025-02-04,INTERNET CHARGES,55.62,Debit,Utilities,Normal,2025,2,4,1,2025-02,Utilities,2,False,-0.5092110230552581
2025-01-15,Netflix.com,61.39,Debit,Entertainment,Normal,2025,1,15,2,2025-01,Entertainment,4,False,-0.5448717265557511
2025-02-15,Netflix.com Subscription,15.99,Debit,Entertainment,Recurring,2025,2,15,5,2025-02,Entertainment,4,False,-0.5381167517861346
2025-01-05,WATER BILL,135.07,Debit,Utilities,Normal,2025,1,5,6,2025-01,Utilities,0,True,-0.5902354154560397
2025-03-14,APPLE STORE #R1234,39.54,Debit,Shopping,Normal,2025,3,14,4,2025-03,Shopping,1,False,-0.48769372874037137
2025-02-15,SPAR HYPERMARKET,133.51,Debit,Groceries,Normal,2025,2,15,5,2025-02,Other,1,False,-0.47780653534705125
2025-02-14,LOCAL GROCERY MART,93.99,Debit,Groceries,Normal,2025,2,14,4,2025-02,Other,1,False,-0.4569434766578584
2025-01-02,COSTCO WHOLESALE,76.25,Debit,Groceries,Normal,2025,1,2,3,2025-01,Other,0,False,-0.46190325706602947
2025-02-04,WM SUPERCENTER #382,51.37,Debit,Groceries,Normal,2025,2,4,1,2025-02,Other,2,False,-0.4290389251426071
2025-02-09,Netflix.com,53.99,Debit,Entertainment,Normal,2025,2,9,6,2025-02,Entertainment,4,False,-0.5591390237825575
2025-02-22,CINEMA CITY,36.97,Debit,Entertainment,Normal,2025,2,22,5,2025-02,Other,1,False,-0.43993148704859075
2025-02-03,PAYPAL *SPOTIFY,61.37,Debit,Entertainment,Normal,2025,2,3,0,2025-02,Entertainment,4,False,-0.5308569374288179
2025-03-19,LYFT RIDE PGH,53.4,Debit,Transport,Normal,2025,3,19,2,2025-03,Transport,2,False,-0.4946945396002094
2025-02-17,Netflix.com,56.59,Debit,Entertainment,Normal,2025,2,17,0,2025-02,Entertainment,4,False,-0.5244171176103589
2025-03-24,Netflix.com,51.86,Debit,Entertainment,Normal,2025,3,24,0,2025-03,Entertainment,4,False,-0.5431531214378527
2025-01-21,Starbucks Store 0032,19.3,Debit,Food,Normal,2025,1,21,1,2025-01,Food,4,False,-0.5325947079458254
2025-03-16,CINEMA CITY,35.43,Debit,Entertainment,Normal,2025,3,16,6,2025-03,Other,1,False,-0.473440948740692
2025-02-23,WM SUPERCENTER #382,50.85,Debit,Groceries,Normal,2025,2,23,6,2025-02,Other,1,False,-0.47448037521795644
2025-01-12,COSTCO WHOLESALE,105.21,Debit,Groceries,Normal,2025,1,12,6,2025-01,Other,0,False,-0.5374860506654311
2025-01-07,STEAM PURCHASE,67.96,Debit,Entertainment,Normal,2025,1,7,1,2025-01,Other,0,False,-0.46178698153543446
2025-03-13,ZARA MALL 09,86.19,Debit,Shopping,Normal,2025,3,13,3,2025-03,Shopping,2,False,-0.467232663878371
2025-04-01,SPAR HYPERMARKET,61.19,Debit,Groceries,Normal,2025,4,1,1,2025-04,Other,2,True,-0.6069455164927281
2025-02-13,APPLE STORE #R1234,179.32,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,0,False,-0.46854639112690044
2025-03-05,AMAZON MKTP US*2R9,42.35,Debit,Shopping,Normal,2025,3,5,2,2025-03,Shopping,2,False,-0.47173998618820545
2025-01-12,SPAR HYPERMARKET,68.5,Debit,Groceries,Normal,2025,1,12,6,2025-01,Other,0,False,-0.5252137504523143
2025-01-17,GAS COMPANY,61.6,Debit,Utilities,Normal,2025,1,17,4,2025-01,Other,0,False,-0.45052377470606875
2025-01-26,Netflix.com,50.63,Debit,Entertainment,Normal,2025,1,26,6,2025-01,Entertainment,4,True,-0.6029773909712819
2025-02-22,COSTCO WHOLESALE,36.79,Debit,Groceries,Normal,2025,2,22,5,2025-02,Other,1,False,-0.43993148704859075
2025-01-13,PAYPAL *SPOTIFY,78.68,Debit,Entertainment,Normal,2025,1,13,0,2025-01,Entertainment,4,True,-0.6075546349584453
2025-03-27,LOCAL GROCERY MART,79.76,Debit,Groceries,Normal,2025,3,27,3,2025-03,Other,2,False,-0.43181240188008513
2025-01-06,YELLOW CAB CO,26.96,Debit,Transport,Normal,2025,1,6,0,2025-01,Transport,0,False,-0.5385848373390119
2025-01-23,H&M STORE 42,229.79,Debit,Shopping,Normal,2025,1,23,3,2025-01,Shopping,0,False,-0.5409226466072269
2025-01-05,AMAZON MKTP US*2R9,157.21,Debit,Shopping,Normal,2025,1,5,6,2025-01,Shopping,0,True,-0.5777933184162997
2025-02-07,INTERNET CHARGES,43.07,Debit,Utilities,Normal,2025,2,7,4,2025-02,Utilities,1,False,-0.5232015998820325
2025-02-20,Starbucks Store 0032,400.0,Debit,Food,Anomaly,2025,2,20,3,2025-02,Food,4,True,-0.6080784833618601
2025-02-02,McDonalds #8492,27.23,Debit,Food,Normal,2025,2,2,6,2025-02,Food,4,False,-0.539928597332861
2025-01-06,LYFT RIDE PGH,54.06,Debit,Transport,Normal,2025,1,6,0,2025-01,Transport,0,False,-0.5353256508199603
2025-01-18,INTERNET CHARGES,95.72,Debit,Utilities,Normal,2025,1,18,5,2025-01,Utilities,0,False,-0.5498693546667013
2025-02-05,ELECTRIC BILL,58.01,Debit,Utilities,Normal,2025,2,5,2,2025-02,Utilities,2,False,-0.49894413832042683
2025-03-24,UBER TRIP 284922 CA,41.04,Debit,Transport,Normal,2025,3,24,0,2025-03,Transport,2,False,-0.5158435222326929
2025-01-06,Starbucks Store 0032,9.8,Debit,Food,Normal,2025,1,6,0,2025-01,Food,4,False,-0.5722658560017957
2025-01-19,WATER BILL,104.56,Debit,Utilities,Normal,2025,1,19,6,2025-01,Utilities,0,True,-0.5803428833688836
2025-01-01,TARGET T-2812,220.07,Debit,Shopping,Normal,2025,1,1,2,2025-01,Shopping,0,False,-0.5409856811401975
2025-01-10,WATER BILL,176.13,Debit,Utilities,Normal,2025,1,10,4,2025-01,Utilities,0,False,-0.5637883387905364
2025-03-03,WATER BILL,47.96,Debit,Utilities,Normal,2025,3,3,0,2025-03,Utilities,2,False,-0.5511314547590602
2025-02-24,LOCAL GROCERY MART,35.84,Debit,Groceries,Normal,2025,2,24,0,2025-02,Other,2,False,-0.4643015151305301
2025-01-31,STEAM PURCHASE,51.96,Debit,Entertainment,Normal,2025,1,31,4,2025-01,Other,0,False,-0.4430284926768137
2025-03-24,Netflix.com,30.24,Debit,Entertainment,Normal,2025,3,24,0,2025-03,Entertainment,4,False,-0.554216070164988
2025-03-21,STEAM PURCHASE,18.64,Debit,Entertainment,Normal,2025,3,21,4,2025-03,Other,1,False,-0.43949678503366246
