date,description,amount,transaction_type,year,month,day,day_of_week,year_month,base_category,cluster_id,is_anomaly,anomaly_score
2025-02-06,KFC Outlet 22,25.91,Debit,2025,2,6,3,2025-02,Other,3,False,-0.4033441074382853
2025-01-21,McDonalds #8492,11.08,Debit,2025,1,21,1,2025-01,Food,1,False,-0.5040705775248112
2025-03-24,SPAR HYPERMARKET,42.86,Debit,2025,3,24,0,2025-03,Other,4,False,-0.45109210562314683
2025-03-16,Starbucks Store 0032,37.51,Debit,2025,3,16,6,2025-03,Food,1,False,-0.5034943373340107
2025-03-09,GAS COMPANY,164.5,Debit,2025,3,9,6,2025-03,Other,3,False,-0.5130875602963009
2025-02-21,CINEMA CITY,40.66,Debit,2025,2,21,4,2025-02,Other,3,False,-0.4081268540688927
2025-02-04,YELLOW CAB CO,24.62,Debit,2025,2,4,1,2025-02,Transport,4,False,-0.47400131253767647
2025-03-30,LOCAL GROCERY MART,82.1,Debit,2025,3,30,6,2025-03,Other,3,False,-0.4506518108264583
2025-11-01,LYFT RIDE PGH,45.44,Debit,2025,11,1,5,2025-11,Transport,0,True,-0.6542867314104132
2025-02-16,GAS COMPANY,127.56,Debit,2025,2,16,6,2025-02,Other,3,False,-0.4786804161503753
2025-01-25,COSTCO WHOLESALE,150.0,Debit,2025,1,25,5,2025-01,Other,3,False,-0.49503928409791154
2025-01-02,KFC Outlet 22,26.74,Debit,2025,1,2,3,2025-01,Other,3,False,-0.4238854103367817
2025-02-04,INTERNET CHARGES,59.22,Debit,2025,2,4,1,2025-02,Utilities,4,False,-0.49169713362154255
2025-02-21,UBER TRIP 284922 CA,16.56,Debit,2025,2,21,4,2025-02,Transport,3,False,-0.47479358398503857
2025-03-17,ZARA MALL 09,166.96,Debit,2025,3,17,0,2025-03,Shopping,4,False,-0.5048216664868211
2025-02-01,ELECTRIC BILL,126.71,Debit,2025,2,1,5,2025-02,Utilities,3,False,-0.5029101812101264
2025-01-25,CINEMA CITY,33.7,Debit,2025,1,25,5,2025-01,Other,3,False,-0.4429108704464707
2025-02-03,WATER BILL,170.66,Debit,2025,2,3,0,2025-02,Utilities,4,False,-0.5425896013622403
2025-12-02,McDonalds #8492,30.59,Debit,2025,12,2,1,2025-12,Food,0,True,-0.6747441464252834
2025-01-21,ZARA MALL 09,91.68,Debit,2025,1,21,1,2025-01,Shopping,4,False,-0.4708085293277481
2025-03-05,STEAM PURCHASE,62.32,Debit,2025,3,5,2,2025-03,Other,4,False,-0.4064223237612112
2025-02-25,Starbucks Store 0032,21.09,Debit,2025,2,25,1,2025-02,Food,1,False,-0.4724041422546934
2025-02-01,YELLOW CAB CO,37.02,Debit,2025,2,1,5,2025-02,Transport,3,False,-0.46702855542657834
2025-01-03,ELECTRIC BILL,150.15,Debit,2025,1,3,4,2025-01,Utilities,3,False,-0.5232631437372521
2025-02-05,ELECTRIC BILL,146.23,Debit,2025,2,5,2,2025-02,Utilities,4,False,-0.48895987667513124
2025-03-25,Dominos Pizza,30.23,Debit,2025,3,25,1,2025-03,Other,4,False,-0.4158174637136617
2025-02-10,Dominos Pizza,20.02,Debit,2025,2,10,0,2025-02,Other,4,False,-0.4591742435281965
2025-01-31,METRO TICKET,9.37,Debit,2025,1,31,4,2025-01,Other,3,False,-0.44017261830700927
2025-02-13,PAYPAL *SPOTIFY,31.98,Debit,2025,2,13,3,2025-02,Entertainment,1,False,-0.489029196829965
2025-02-12,PAYPAL *SPOTIFY,56.25,Debit,2025,2,12,2,2025-02,Entertainment,1,False,-0.4762664473713108
2025-02-03,STEAM PURCHASE,26.08,Debit,2025,2,3,0,2025-02,Other,4,False,-0.45419001049364494
2025-01-15,GAS COMPANY,165.93,Debit,2025,1,15,2,2025-01,Other,4,False,-0.49332605271331625
2025-04-01,Netflix.com,39.94,Debit,2025,4,1,1,2025-04,Entertainment,1,False,-0.5346768502911711
2025-03-15,INTERNET CHARGES,105.44,Debit,2025,3,15,5,2025-03,Utilities,3,False,-0.5029823594495458
2025-01-10,H&M STORE 42,218.21,Debit,2025,1,10,4,2025-01,Shopping,3,False,-0.5026141339403805
2025-01-24,H&M STORE 42,68.79,Debit,2025,1,24,4,2025-01,Shopping,3,False,-0.46436033785821457
2025-02-19,WM SUPERCENTER #382,132.09,Debit,2025,2,19,2,2025-02,Other,4,False,-0.4242400401192164
2025-02-23,ELECTRIC BILL,109.73,Debit,2025,2,23,6,2025-02,Utilities,3,False,-0.5276865881430384
2025-01-29,ELECTRIC BILL,177.92,Debit,2025,1,29,2,2025-01,Utilities,4,False,-0.5379880909779281
2025-03-26,LOCAL GROCERY MART,141.84,Debit,2025,3,26,2,2025-03,Other,4,False,-0.4366488878727669
2025-02-11,GAS COMPANY,42.73,Debit,2025,2,11,1,2025-02,Other,4,False,-0.4095670143242411
2025-03-02,AMAZON MKTP US*2R9,104.72,Debit,2025,3,2,6,2025-03,Shopping,3,False,-0.47517299974742155
2025-11-03,ELECTRIC BILL,94.66,Debit,2025,11,3,0,2025-11,Utilities,0,True,-0.688776912423894
2025-03-13,STEAM PURCHASE,19.15,Debit,2025,3,13,3,2025-03,Other,3,False,-0.4092391379469301
2025-03-05,UNKNOWN TRANSACTION 999,1.0,Debit,2025,3,5,2,2025-03,Other,4,False,-0.43039885887095897
2025-03-20,SPAR HYPERMARKET,128.82,Debit,2025,3,20,3,2025-03,Other,3,False,-0.42586319586983334
2025-03-04,PAYPAL *SPOTIFY,40.15,Debit,2025,3,4,1,2025-03,Entertainment,1,False,-0.47502383411922694
2025-03-09,PAYPAL *SPOTIFY,53.93,Debit,2025,3,9,6,2025-03,Entertainment,1,False,-0.5168569327115348
2025-02-26,Dominos Pizza,8.43,Debit,2025,2,26,2,2025-02,Other,4,False,-0.4237543865964653
2025-02-10,H&M STORE 42,159.43,Debit,2025,2,10,0,2025-02,Shopping,4,False,-0.4933367341311779
2025-01-07,SPAR HYPERMARKET,87.75,Debit,2025,1,7,1,2025-01,Other,4,False,-0.45131871908413895
2025-02-07,Local Diner,31.16,Debit,2025,2,7,4,2025-02,Food,1,False,-0.4734529684080166
2025-04-01,STEAM PURCHASE,30.83,Debit,2025,4,1,1,2025-04,Other,4,False,-0.47912363406737535
2025-01-16,GAS COMPANY,51.03,Debit,2025,1,16,3,2025-01,Other,3,False,-0.42175453354943854
2025-02-27,INTERNET CHARGES,160.99,Debit,2025,2,27,3,2025-02,Utilities,3,False,-0.4993428425960422
2025-03-02,UBER TRIP 284922 CA,54.27,Debit,2025,3,2,6,2025-03,Transport,3,False,-0.4818272895935407
2025-04-01,GAS COMPANY,118.53,Debit,2025,4,1,1,2025-04,Other,4,False,-0.4990494104554437
2025-01-30,APPLE STORE #R1234,204.44,Debit,2025,1,30,3,2025-01,Shopping,3,False,-0.49261957786587784
2025-02-23,TARGET T-2812,114.98,Debit,2025,2,23,6,2025-02,Shopping,3,False,-0.4807607072704458
2025-02-10,WATER BILL,95.01,Debit,2025,2,10,0,2025-02,Utilities,4,False,-0.5319688537989417
2025-03-07,WATER BILL,85.92,Debit,2025,3,7,4,2025-03,Utilities,3,False,-0.4947289526569418
2025-02-18,PAYPAL *SPOTIFY,52.32,Debit,2025,2,18,1,2025-02,Entertainment,1,False,-0.48561390781321967
2025-02-01,Local Diner,14.97,Debit,2025,2,1,5,2025-02,Food,1,False,-0.4900175823885553
2025-02-10,WATER BILL,131.76,Debit,2025,2,10,0,2025-02,Utilities,4,False,-0.5253941677515687
2025-01-21,GAS COMPANY,131.4,Debit,2025,1,21,1,2025-01,Other,4,False,-0.47162667659668056
2025-01-26,LYFT RIDE PGH,48.9,Debit,2025,1,26,6,2025-01,Transport,3,False,-0.5108643469067234
2025-02-27,Dominos Pizza,12.75,Debit,2025,2,27,3,2025-02,Other,3,False,-0.417514870251409
2025-03-08,STEAM PURCHASE,11.62,Debit,2025,3,8,5,2025-03,Other,3,False,-0.43506247941688947
2025-04-01,COSTCO WHOLESALE,79.44,Debit,2025,4,1,1,2025-04,Other,4,False,-0.48373974147665905
2025-02-17,PAYPAL *SPOTIFY,48.06,Debit,2025,2,17,0,2025-02,Entertainment,1,False,-0.5028243272553585
2025-03-17,CINEMA CITY,31.21,Debit,2025,3,17,0,2025-03,Other,4,False,-0.4493356562859489
2025-01-29,AMAZON MKTP US*2R9,199.68,Debit,2025,1,29,2,2025-01,Shopping,4,False,-0.5065643948125668
2025-02-27,LOCAL GROCERY MART,118.97,Debit,2025,2,27,3,2025-02,Other,3,False,-0.41344346127328746
2025-02-19,H&M STORE 42,198.13,Debit,2025,2,19,2,2025-02,Shopping,4,False,-0.47378259897579217
2025-01-13,LOCAL GROCERY MART,130.94,Debit,2025,1,13,0,2025-01,Other,4,False,-0.505120620807097
2025-06-03,METRO TICKET,22.19,Debit,2025,6,3,1,2025-06,Other,0,False,-0.5379076427736168
2025-01-23,SHELL STATION #221,52.52,Debit,2025,1,23,3,2025-01,Other,3,False,-0.421588208419317
2025-01-20,STEAM PURCHASE,55.15,Debit,2025,1,20,0,2025-01,Other,4,False,-0.4903350663998364
2025-02-02,WM SUPERCENTER #382,118.23,Debit,2025,2,2,6,2025-02,Other,3,False,-0.4690892495614334
2025-02-08,APPLE STORE #R1234,153.38,Debit,2025,2,8,5,2025-02,Shopping,3,False,-0.4710784401984699
2025-03-12,PAYPAL *SPOTIFY,27.61,Debit,2025,3,12,2,2025-03,Entertainment,1,False,-0.47986232262703055
2025-09-02,SHELL STATION #221,27.19,Debit,2025,9,2,1,2025-09,Other,0,True,-0.5833243256083648
2025-03-23,METRO TICKET,13.33,Debit,2025,3,23,6,2025-03,Other,3,False,-0.4629217381714684
2025-01-08,ELECTRIC BILL,172.66,Debit,2025,1,8,2,2025-01,Utilities,4,False,-0.5273847847087327
2025-01-18,PAYPAL *SPOTIFY,9.99,Debit,2025,1,18,5,2025-01,Entertainment,1,False,-0.5612278328344787
2025-10-01,STEAM PURCHASE,41.54,Debit,2025,10,1,2,2025-10,Other,0,True,-0.6089647754217489
2025-02-13,ZARA MALL 09,222.47,Debit,2025,2,13,3,2025-02,Shopping,3,False,-0.4743911276903696
2025-01-17,LOCAL GROCERY MART,82.15,Debit,2025,1,17,4,2025-01,Other,3,False,-0.43372671291902076
2025-03-16,APPLE STORE #R1234,54.06,Debit,2025,3,16,6,2025-03,Shopping,3,False,-0.45689716043436857
2025-01-18,GAS COMPANY,103.51,Debit,2025,1,18,5,2025-01,Other,3,False,-0.4626734731684874
2025-01-08,INTERNET CHARGES,48.0,Debit,2025,1,8,2,2025-01,Utilities,4,False,-0.5046684878723768
2025-01-30,Starbucks Store 0032,18.3,Debit,2025,1,30,3,2025-01,Food,1,False,-0.4987595836782878
2025-03-19,ELECTRIC BILL,169.98,Debit,2025,3,19,2,2025-03,Utilities,4,False,-0.523597455053981
2025-02-17,GAS COMPANY,138.27,Debit,2025,2,17,0,2025-02,Other,4,False,-0.4830446142442939
2025-01-01,Local Diner,31.99,Debit,2025,1,1,2,2025-01,Food,1,False,-0.4890824962457752
2025-02-11,SHELL STATION #221,45.5,Debit,2025,2,11,1,2025-02,Other,4,False,-0.4097454397376848
2025-03-12,TARGET T-2812,64.12,Debit,2025,3,12,2,2025-03,Shopping,4,False,-0.4370849241525929
2025-03-06,McDonalds #8492,6.37,Debit,2025,3,6,3,2025-03,Food,1,False,-0.4962178968127575
2025-03-02,TARGET T-2812,104.6,Debit,2025,3,2,6,2025-03,Shopping,3,False,-0.47517299974742155
2025-02-04,INTERNET CHARGES,55.62,Debit,2025,2,4,1,2025-02,Utilities,4,False,-0.48779927712512017
2025-01-15,Netflix.com,61.39,Debit,2025,1,15,2,2025-01,Entertainment,1,False,-0.521613418606515
2025-02-15,Netflix.com Subscription,15.99,Debit,2025,2,15,5,2025-02,Entertainment,1,False,-0.5302879425592526
2025-01-05,WATER BILL,135.07,Debit,2025,1,5,6,2025-01,Utilities,3,False,-0.5516646882325236
2025-03-14,APPLE STORE #R1234,39.54,Debit,2025,3,14,4,2025-03,Shopping,3,False,-0.4479765042133178
2025-02-15,SPAR HYPERMARKET,133.51,Debit,2025,2,15,5,2025-02,Other,3,False,-0.4540408654504488
2025-02-14,LOCAL GROCERY MART,93.99,Debit,2025,2,14,4,2025-02,Other,3,False,-0.42638602735646586
2025-02-01,COSTCO WHOLESALE,76.25,Debit,2025,2,1,5,2025-02,Other,3,False,-0.4331202200665976
2025-02-04,WM SUPERCENTER #382,51.37,Debit,2025,2,4,1,2025-02,Other,4,False,-0.41029356418939095
2025-02-09,Netflix.com,53.99,Debit,2025,2,9,6,2025-02,Entertainment,1,False,-0.5344236151583421
2025-02-22,CINEMA CITY,36.97,Debit,2025,2,22,5,2025-02,Other,3,False,-0.4179077009839824
2025-02-03,PAYPAL *SPOTIFY,61.37,Debit,2025,2,3,0,2025-02,Entertainment,1,False,-0.5194717994115563
2025-03-19,LYFT RIDE PGH,53.4,Debit,2025,3,19,2,2025-03,Transport,4,False,-0.4668469233976274
2025-02-17,Netflix.com,56.59,Debit,2025,2,17,0,2025-02,Entertainment,1,False,-0.5091756781251483
2025-03-24,Netflix.com,51.86,Debit,2025,3,24,0,2025-03,Entertainment,1,False,-0.5110222792975522
2025-01-21,Starbucks Store 0032,19.3,Debit,2025,1,21,1,2025-01,Food,1,False,-0.4949466892763836
2025-03-16,CINEMA CITY,35.43,Debit,2025,3,16,6,2025-03,Other,3,False,-0.4370730047119942
2025-02-23,WM SUPERCENTER #382,50.85,Debit,2025,2,23,6,2025-02,Other,3,False,-0.4423018071767487
2025-01-12,COSTCO WHOLESALE,105.21,Debit,2025,1,12,6,2025-01,Other,3,False,-0.4978045851318779
2025-01-07,STEAM PURCHASE,67.96,Debit,2025,1,7,1,2025-01,Other,4,False,-0.44293196423026815
2025-03-13,ZARA MALL 09,86.19,Debit,2025,3,13,3,2025-03,Shopping,3,False,-0.4364665000009243
2025-04-01,SPAR HYPERMARKET,61.19,Debit,2025,4,1,1,2025-04,Other,4,False,-0.47676799873105263
2025-02-13,APPLE STORE #R1234,179.32,Debit,2025,2,13,3,2025-02,Shopping,3,False,-0.4482342612281979
2025-05-03,AMAZON MKTP US*2R9,42.35,Debit,2025,5,3,5,2025-05,Shopping,3,False,-0.551684919664457
2025-01-12,SPAR HYPERMARKET,68.5,Debit,2025,1,12,6,2025-01,Other,3,False,-0.48086080819998883
2025-01-17,GAS COMPANY,61.6,Debit,2025,1,17,4,2025-01,Other,3,False,-0.4257915608456391
2025-01-26,Netflix.com,50.63,Debit,2025,1,26,6,2025-01,Entertainment,1,True,-0.5771104450702601
2025-02-22,COSTCO WHOLESALE,36.79,Debit,2025,2,22,5,2025-02,Other,3,False,-0.4179077009839824
2025-01-13,PAYPAL *SPOTIFY,78.68,Debit,2025,1,13,0,2025-01,Entertainment,1,True,-0.5801453299405517
2025-03-27,LOCAL GROCERY MART,79.76,Debit,2025,3,27,3,2025-03,Other,3,False,-0.4083312357720271
2025-01-06,YELLOW CAB CO,26.96,Debit,2025,1,6,0,2025-01,Transport,4,False,-0.5327723829155387
2025-01-23,H&M STORE 42,229.79,Debit,2025,1,23,3,2025-01,Shopping,3,False,-0.5074670465023967
2025-01-05,AMAZON MKTP US*2R9,157.21,Debit,2025,1,5,6,2025-01,Shopping,3,False,-0.5254103042376991
2025-02-07,INTERNET CHARGES,43.07,Debit,2025,2,7,4,2025-02,Utilities,3,False,-0.501343371938807
2025-02-20,Starbucks Store 0032,400.0,Debit,2025,2,20,3,2025-02,Food,1,False,-0.5674738865623924
2025-02-02,McDonalds #8492,27.23,Debit,2025,2,2,6,2025-02,Food,1,False,-0.5075930492995058
2025-06-01,LYFT RIDE PGH,54.06,Debit,2025,6,1,6,2025-06,Transport,3,True,-0.5897135307177148
2025-01-18,INTERNET CHARGES,95.72,Debit,2025,1,18,5,2025-01,Utilities,3,False,-0.5231456617179587
2025-05-02,ELECTRIC BILL,58.01,Debit,2025,5,2,4,2025-05,Utilities,3,True,-0.5772057958608875
2025-03-24,UBER TRIP 284922 CA,41.04,Debit,2025,3,24,0,2025-03,Transport,4,False,-0.4969294504239727
2025-01-06,Starbucks Store 0032,9.8,Debit,2025,1,6,0,2025-01,Food,1,False,-0.5522842971332089
2025-01-19,WATER BILL,104.56,Debit,2025,1,19,6,2025-01,Utilities,3,False,-0.5413365422573686
2025-01-01,TARGET T-2812,220.07,Debit,2025,1,1,2,2025-01,Shopping,4,False,-0.5154188135438658
2025-01-10,WATER BILL,176.13,Debit,2025,1,10,4,2025-01,Utilities,3,False,-0.5394209891872097
2025-03-03,WATER BILL,47.96,Debit,2025,3,3,0,2025-03,Utilities,4,False,-0.5443677254930241
2025-02-24,LOCAL GROCERY MART,35.84,Debit,2025,2,24,0,2025-02,Other,4,False,-0.4545681772814844
2025-01-31,STEAM PURCHASE,51.96,Debit,2025,1,31,4,2025-01,Other,3,False,-0.424579189695298
2025-03-24,Netflix.com,30.24,Debit,2025,3,24,0,2025-03,Entertainment,1,False,-0.5181369818911394
2025-03-21,STEAM PURCHASE,18.64,Debit,2025,3,21,4,2025-03,Other,3,False,-0.4160565940472549
2025-02-08,SPAR HYPERMARKET,63.17,Debit,2025,2,8,5,2025-02,Other,3,False,-0.4288146686276825
2025-02-18,INTERNET CHARGES,127.75,Debit,2025,2,18,1,2025-02,Utilities,4,False,-0.5002507359146036
2025-02-25,H&M STORE 42,26.68,Debit,2025,2,25,1,2025-02,Shopping,4,False,-0.44751461429489675
2025-03-23,CINEMA CITY,14.72,Debit,2025,3,23,6,2025-03,Other,3,False,-0.45427588097362587
2025-03-25,Local Diner,14.56,Debit,2025,3,25,1,2025-03,Food,1,False,-0.48374553609720333
2025-01-04,LYFT RIDE PGH,49.27,Debit,2025,1,4,5,2025-01,Transport,3,False,-0.48498643250527207
2025-03-13,COSTCO WHOLESALE,111.33,Debit,2025,3,13,3,2025-03,Other,3,False,-0.41910747215466393
2025-11-01,GAS COMPANY,161.87,Debit,2025,11,1,5,2025-11,Other,0,True,-0.6631681320887726
2025-03-28,STEAM PURCHASE,45.94,Debit,2025,3,28,4,2025-03,Other,3,False,-0.41282727361874716
2025-03-10,COSTCO WHOLESALE,120.23,Debit,2025,3,10,0,2025-03,Other,4,False,-0.47059274633809484
2025-03-11,ZARA MALL 09,175.45,Debit,2025,3,11,1,2025-03,Shopping,4,False,-0.4830535214322943
2025-01-21,INTERNET CHARGES,92.2,Debit,2025,1,21,1,2025-01,Utilities,4,False,-0.5101014298507718
2025-03-01,INTERNET CHARGES,175.95,Debit,2025,3,1,5,2025-03,Utilities,3,False,-0.5371955653940944
2025-02-24,Netflix.com,39.0,Debit,2025,2,24,0,2025-02,Entertainment,1,False,-0.5030982885370144
2025-03-07,PAYPAL *SPOTIFY,59.74,Debit,2025,3,7,4,2025-03,Entertainment,1,False,-0.5078988753551783
2025-02-11,COSTCO WHOLESALE,25.85,Debit,2025,2,11,1,2025-02,Other,4,False,-0.4171496017281809
2025-02-17,H&M STORE 42,195.51,Debit,2025,2,17,0,2025-02,Shopping,4,False,-0.5248090926371622
2025-01-15,Netflix.com Subscription,15.99,Debit,2025,1,15,2,2025-01,Entertainment,1,False,-0.5215900615181135
2025-03-27,Local Diner,26.81,Debit,2025,3,27,3,2025-03,Food,1,False,-0.46514544132696256
2025-03-04,WM SUPERCENTER #382,97.13,Debit,2025,3,4,1,2025-03,Other,4,False,-0.42992109880657875
2025-01-11,WATER BILL,61.12,Debit,2025,1,11,5,2025-01,Utilities,3,False,-0.5216716394938685
2025-01-06,SPAR HYPERMARKET,147.63,Debit,2025,1,6,0,2025-01,Other,4,False,-0.5215198678924098
2025-03-31,METRO TICKET,25.69,Debit,2025,3,31,0,2025-03,Other,4,False,-0.4500721339493256
2025-02-08,INTERNET CHARGES,111.02,Debit,2025,2,8,5,2025-02,Utilities,3,False,-0.4981715126403815
2025-03-10,LYFT RIDE PGH,16.5,Debit,2025,3,10,0,2025-03,Transport,4,False,-0.5095061222574881
2025-01-02,H&M STORE 42,209.14,Debit,2025,1,2,3,2025-01,Shopping,3,False,-0.4943582611034188
2025-03-19,METRO TICKET,9.81,Debit,2025,3,19,2,2025-03,Other,4,False,-0.42228663687134593
2025-01-07,WM SUPERCENTER #382,32.58,Debit,2025,1,7,1,2025-01,Other,4,False,-0.43616345474537427
2025-02-27,WM SUPERCENTER #382,138.23,Debit,2025,2,27,3,2025-02,Other,3,False,-0.4262426393364728
2025-02-14,Dominos Pizza,17.86,Debit,2025,2,14,4,2025-02,Other,3,False,-0.41446204850185786
2025-03-28,PAYPAL *SPOTIFY,76.6,Debit,2025,3,28,4,2025-03,Entertainment,1,False,-0.5307142173047911
2025-01-31,AMAZON MKTP US*2R9,197.45,Debit,2025,1,31,4,2025-01,Shopping,3,False,-0.4924911352800866
2025-01-31,APPLE STORE #R1234,94.47,Debit,2025,1,31,4,2025-01,Shopping,3,False,-0.46093905631478826
