Transaction Date,Description,Amount,Transaction_Type,Category,Label
2025-02-11,SHELL STATION #221,45.5,Debit,Transport,Normal
2025-03-12,TARGET T-2812,64.12,Debit,Shopping,Normal
2025-03-06,McDonalds #8492,6.37,Debit,Food,Normal
2025-03-02,TARGET T-2812,104.6,Debit,Shopping,Normal
2025-02-04,INTERNET CHARGES,55.62,Debit,Utilities,Normal
2025-01-15,Netflix.com,61.39,Debit,Entertainment,Normal
2025-02-15,Netflix.com Subscription,15.99,Debit,Entertainment,Recurring
2025-01-05,WATER BILL,135.07,Debit,Utilities,Normal
2025-03-14,APPLE STORE #R1234,39.54,Debit,Shopping,Normal
2025-02-15,SPAR HYPERMARKET,133.51,Debit,Groceries,Normal
2025-02-14,LOCAL GROCERY MART,93.99,Debit,Groceries,Normal
2025-01-02,COSTCO WHOLESALE,76.25,Debit,Groceries,Normal
2025-02-04,WM SUPERCENTER #382,51.37,Debit,Groceries,Normal
2025-02-09,Netflix.com,53.99,Debit,Entertainment,Normal
2025-02-22,CINEMA CITY,36.97,Debit,Entertainment,Normal
2025-02-03,PAYPAL *SPOTIFY,61.37,Debit,Entertainment,Normal
2025-03-19,LYFT RIDE PGH,53.4,Debit,Transport,Normal
2025-02-17,Netflix.com,56.59,Debit,Entertainment,Normal
2025-03-24,Netflix.com,51.86,Debit,Entertainment,Normal
2025-01-21,Starbucks Store 0032,19.3,Debit,Food,Normal
2025-03-16,CINEMA CITY,35.43,Debit,Entertainment,Normal
2025-02-23,WM SUPERCENTER #382,50.85,Debit,Groceries,Normal
2025-01-12,COSTCO WHOLESALE,105.21,Debit,Groceries,Normal
2025-01-07,STEAM PURCHASE,67.96,Debit,Entertainment,Normal
2025-03-13,ZARA MALL 09,86.19,Debit,Shopping,Normal
2025-04-01,SPAR HYPERMARKET,61.19,Debit,Groceries,Normal
2025-02-13,APPLE STORE #R1234,179.32,Debit,Shopping,Normal
2025-03-05,AMAZON MKTP US*2R9,42.35,Debit,Shopping,Normal
2025-01-12,SPAR HYPERMARKET,68.5,Debit,Groceries,Normal
2025-01-17,GAS COMPANY,61.6,Debit,Utilities,Normal
2025-01-26,Netflix.com,50.63,Debit,Entertainment,Normal
2025-02-22,COSTCO WHOLESALE,36.79,Debit,Groceries,Normal
2025-01-13,PAYPAL *SPOTIFY,78.68,Debit,Entertainment,Normal
2025-03-27,LOCAL GROCERY MART,79.76,Debit,Groceries,Normal
2025-01-06,YELLOW CAB CO,26.96,Debit,Transport,Normal
2025-01-23,H&M STORE 42,229.79,Debit,Shopping,Normal
2025-01-05,AMAZON MKTP US*2R9,157.21,Debit,Shopping,Normal
2025-02-07,INTERNET CHARGES,43.07,Debit,Utilities,Normal
2025-02-20,Starbucks Store 0032,400.0,Debit,Food,Anomaly
2025-02-02,McDonalds #8492,27.23,Debit,Food,Normal
2025-01-06,LYFT RIDE PGH,54.06,Debit,Transport,Normal
2025-01-18,INTERNET CHARGES,95.72,Debit,Utilities,Normal
2025-02-05,ELECTRIC BILL,58.01,Debit,Utilities,Normal
2025-03-24,UBER TRIP 284922 CA,41.04,Debit,Transport,Normal
2025-01-06,Starbucks Store 0032,9.8,Debit,Food,Normal
2025-01-19,WATER BILL,104.56,Debit,Utilities,Normal
2025-01-01,TARGET T-2812,220.07,Debit,Shopping,Normal
2025-01-10,WATER BILL,176.13,Debit,Utilities,Normal
2025-03-03,WATER BILL,47.96,Debit,Utilities,Normal
2025-02-24,LOCAL GROCERY MART,35.84,Debit,Groceries,Normal
2025-01-31,STEAM PURCHASE,51.96,Debit,Entertainment,Normal
2025-03-24,Netflix.com,30.24,Debit,Entertainment,Normal
2025-03-21,STEAM PURCHASE,18.64,Debit,Entertainment,Normal
2025-02-08,SPAR HYPERMARKET,63.17,Debit,Groceries,Normal
2025-02-18,INTERNET CHARGES,127.75,Debit,Utilities,Normal
2025-02-25,H&M STORE 42,26.68,Debit,Shopping,Normal
2025-03-23,CINEMA CITY,14.72,Debit,Entertainment,Normal
2025-03-25,Local Diner,14.56,Debit,Food,Normal
2025-04-01,LYFT RIDE PGH,49.27,Debit,Transport,Normal
2025-03-13,COSTCO WHOLESALE,111.33,Debit,Groceries,Normal
2025-01-11,GAS COMPANY,161.87,Debit,Utilities,Normal
2025-03-28,STEAM PURCHASE,45.94,Debit,Entertainment,Normal
2025-03-10,COSTCO WHOLESALE,120.23,Debit,Groceries,Normal
2025-03-11,ZARA MALL 09,175.45,Debit,Shopping,Normal
2025-01-21,INTERNET CHARGES,92.2,Debit,Utilities,Normal
2025-03-01,INTERNET CHARGES,175.95,Debit,Utilities,Normal
2025-02-24,Netflix.com,39.0,Debit,Entertainment,Normal
2025-03-07,PAYPAL *SPOTIFY,59.74,Debit,Entertainment,Normal
2025-02-11,COSTCO WHOLESALE,25.85,Debit,Groceries,Normal
2025-02-17,H&M STORE 42,195.51,Debit,Shopping,Normal
2025-01-15,Netflix.com Subscription,15.99,Debit,Entertainment,Recurring
2025-03-27,Local Diner,26.81,Debit,Food,Normal
2025-03-04,WM SUPERCENTER #382,97.13,Debit,Groceries,Normal
2025-01-11,WATER BILL,61.12,Debit,Utilities,Normal
2025-01-06,SPAR HYPERMARKET,147.63,Debit,Groceries,Normal
2025-03-31,METRO TICKET,25.69,Debit,Transport,Normal
2025-02-08,INTERNET CHARGES,111.02,Debit,Utilities,Normal
2025-03-10,LYFT RIDE PGH,16.5,Debit,Transport,Normal
2025-01-02,H&M STORE 42,209.14,Debit,Shopping,Normal
2025-03-19,METRO TICKET,9.81,Debit,Transport,Normal
2025-01-07,WM SUPERCENTER #382,32.58,Debit,Groceries,Normal
2025-02-27,WM SUPERCENTER #382,138.23,Debit,Groceries,Normal
2025-02-14,Dominos Pizza,17.86,Debit,Food,Normal
2025-03-28,PAYPAL *SPOTIFY,76.6,Debit,Entertainment,Normal
2025-01-31,AMAZON MKTP US*2R9,197.45,Debit,Shopping,Normal
2025-01-31,APPLE STORE #R1234,94.47,Debit,Shopping,Normal
2025-03-17,LYFT RIDE PGH,8.37,Debit,Transport,Normal
2025-02-28,ZARA MALL 09,173.37,Debit,Shopping,Normal
2025-02-01,SHELL STATION #221,36.03,Debit,Transport,Normal
2025-02-17,LOCAL GROCERY MART,125.14,Debit,Groceries,Normal
2025-01-16,SPAR HYPERMARKET,111.08,Debit,Groceries,Normal
2025-03-28,Starbucks Store 0032,14.52,Debit,Food,Normal
2025-02-23,GAS COMPANY,118.95,Debit,Utilities,Normal
2025-01-18,ELECTRIC BILL,78.67,Debit,Utilities,Normal
2025-03-10,McDonalds #8492,9.49,Debit,Food,Normal
2025-02-10,Starbucks Store 0032,34.37,Debit,Food,Normal
2025-01-05,INTERNET CHARGES,162.69,Debit,Utilities,Normal
2025-01-10,YELLOW CAB CO,51.91,Debit,Transport,Normal
2025-02-02,METRO TICKET,58.3,Debit,Transport,Normal
2025-03-28,GAS COMPANY,165.41,Debit,Utilities,Normal
2025-02-14,WATER BILL,162.91,Debit,Utilities,Normal
2025-02-04,METRO TICKET,55.08,Debit,Transport,Normal
2025-02-18,ZARA MALL 09,68.68,Debit,Shopping,Normal
2025-01-19,UBER TRIP 284922 CA,10.4,Debit,Transport,Normal
2025-01-28,GAS COMPANY,98.78,Debit,Utilities,Normal
2025-03-27,PAYPAL *SPOTIFY,34.22,Debit,Entertainment,Normal
2025-02-25,Local Diner,27.25,Debit,Food,Normal
2025-02-13,Netflix.com,25.9,Debit,Entertainment,Normal
2025-03-09,INTERNET CHARGES,103.52,Debit,Utilities,Normal
2025-02-26,WM SUPERCENTER #382,99.75,Debit,Groceries,Normal
2025-01-27,ZARA MALL 09,181.42,Debit,Shopping,Normal
2025-03-20,SPAR HYPERMARKET,142.38,Debit,Groceries,Normal
2025-01-17,Dominos Pizza,38.79,Debit,Food,Normal
2025-01-17,SHELL STATION #221,18.67,Debit,Transport,Normal
2025-02-17,APPLE STORE #R1234,70.8,Debit,Shopping,Normal
2025-03-12,CINEMA CITY,33.33,Debit,Entertainment,Normal
2025-03-20,H&M STORE 42,83.15,Debit,Shopping,Normal
2025-01-07,STEAM PURCHASE,20.28,Debit,Entertainment,Normal
2025-01-31,KFC Outlet 22,25.02,Debit,Food,Normal
2025-02-15,McDonalds #8492,28.87,Debit,Food,Normal
2025-02-13,WM SUPERCENTER #382,86.79,Debit,Groceries,Normal
2025-03-01,STEAM PURCHASE,53.48,Debit,Entertainment,Normal
2025-03-02,Netflix.com,14.57,Debit,Entertainment,Normal
2025-02-03,UBER TRIP 284922 CA,14.59,Debit,Transport,Normal
2025-03-25,STEAM PURCHASE,23.87,Debit,Entertainment,Normal
2025-03-30,PAYPAL *SPOTIFY,59.33,Debit,Entertainment,Normal
2025-01-18,Starbucks Store 0032,38.12,Debit,Food,Normal
2025-03-28,GAS COMPANY,79.78,Debit,Utilities,Normal
2025-03-25,WATER BILL,85.01,Debit,Utilities,Normal
2025-03-23,LOCAL GROCERY MART,45.33,Debit,Groceries,Normal
2025-02-13,Starbucks Store 0032,25.59,Debit,Food,Normal
2025-01-15,ELECTRIC BILL,156.03,Debit,Utilities,Normal
2025-03-11,CINEMA CITY,54.22,Debit,Entertainment,Normal
2025-01-04,Starbucks Store 0032,12.65,Debit,Food,Normal
2025-01-13,CINEMA CITY,38.73,Debit,Entertainment,Normal
2025-03-02,INTERNET CHARGES,45.13,Debit,Utilities,Normal
2025-01-10,ELECTRIC BILL,99.32,Debit,Utilities,Normal
2025-02-13,WATER BILL,156.25,Debit,Utilities,Normal
2025-01-17,SHELL STATION #221,21.03,Debit,Transport,Normal
2025-03-28,Local Diner,25.17,Debit,Food,Normal
2025-03-16,STEAM PURCHASE,72.64,Debit,Entertainment,Normal
2025-03-05,Dominos Pizza,23.76,Debit,Food,Normal
2025-03-22,YELLOW CAB CO,59.87,Debit,Transport,Normal
2025-03-22,Netflix.com,24.48,Debit,Entertainment,Normal
2025-02-11,AMAZON MKTP US*2R9,217.28,Debit,Shopping,Normal
2025-03-19,WATER BILL,61.4,Debit,Utilities,Normal
2025-03-11,Netflix.com,79.99,Debit,Entertainment,Normal
2025-02-26,H&M STORE 42,47.93,Debit,Shopping,Normal
2025-03-03,LYFT RIDE PGH,31.66,Debit,Transport,Normal
2025-03-08,CINEMA CITY,52.35,Debit,Entertainment,Normal
2025-01-21,METRO TICKET,59.79,Debit,Transport,Normal
2025-02-24,STEAM PURCHASE,51.71,Debit,Entertainment,Normal
2025-03-03,CINEMA CITY,60.17,Debit,Entertainment,Normal
2025-02-20,Dominos Pizza,21.0,Debit,Food,Normal
2025-02-13,SPAR HYPERMARKET,74.84,Debit,Groceries,Normal
2025-04-01,INTERNET CHARGES,50.93,Debit,Utilities,Normal
2025-01-07,COSTCO WHOLESALE,70.32,Debit,Groceries,Normal
2025-01-28,AMAZON MKTP US*2R9,153.21,Debit,Shopping,Normal
2025-01-09,LYFT RIDE PGH,22.3,Debit,Transport,Normal
2025-02-01,Netflix.com,58.2,Debit,Entertainment,Normal
2025-02-25,METRO TICKET,54.18,Debit,Transport,Normal
2025-03-01,YELLOW CAB CO,47.88,Debit,Transport,Normal
2025-01-25,AMAZON MKTP US*2R9,238.27,Debit,Shopping,Normal
2025-03-30,WATER BILL,66.82,Debit,Utilities,Normal
2025-03-14,ELECTRIC BILL,51.75,Debit,Utilities,Normal
2025-02-02,CINEMA CITY,76.66,Debit,Entertainment,Normal
2025-03-21,ELECTRIC BILL,125.26,Debit,Utilities,Normal
2025-03-15,CINEMA CITY,54.88,Debit,Entertainment,Normal
2025-01-07,CINEMA CITY,51.23,Debit,Entertainment,Normal
2025-01-29,UBER TRIP 284922 CA,42.32,Debit,Transport,Normal
2025-03-25,H&M STORE 42,49.66,Debit,Shopping,Normal
2025-03-27,YELLOW CAB CO,20.41,Debit,Transport,Normal
2025-01-31,ZARA MALL 09,48.03,Debit,Shopping,Normal
2025-03-18,Netflix.com,45.84,Debit,Entertainment,Normal
2025-02-21,APPLE STORE #R1234,211.76,Debit,Shopping,Normal
2025-02-12,Netflix.com,31.74,Debit,Entertainment,Normal
2025-03-24,KFC Outlet 22,35.59,Debit,Food,Normal
2025-03-10,ELECTRIC BILL,110.36,Debit,Utilities,Normal
2025-01-29,GAS COMPANY,103.07,Debit,Utilities,Normal
2025-01-16,Dominos Pizza,10.36,Debit,Food,Normal
2025-01-08,ELECTRIC BILL,68.62,Debit,Utilities,Normal
2025-03-26,GAS COMPANY,49.74,Debit,Utilities,Normal
2025-02-27,PAYPAL *SPOTIFY,46.45,Debit,Entertainment,Normal
2025-01-28,YELLOW CAB CO,13.31,Debit,Transport,Normal
2025-03-20,Dominos Pizza,22.75,Debit,Food,Normal
2025-03-22,Local Diner,34.46,Debit,Food,Normal
2025-02-26,AMAZON MKTP US*2R9,184.12,Debit,Shopping,Normal
2025-04-01,SPAR HYPERMARKET,73.26,Debit,Groceries,Normal
2025-03-31,STEAM PURCHASE,50.29,Debit,Entertainment,Normal
2025-02-08,YELLOW CAB CO,44.65,Debit,Transport,Normal
2025-02-05,METRO TICKET,20.99,Debit,Transport,Normal
2025-02-02,UBER TRIP 284922 CA,44.86,Debit,Transport,Normal
2025-01-18,YELLOW CAB CO,23.05,Debit,Transport,Normal
2025-03-06,SPAR HYPERMARKET,145.78,Debit,Groceries,Normal
2025-01-01,KFC Outlet 22,31.15,Debit,Food,Normal
2025-03-11,WM SUPERCENTER #382,102.18,Debit,Groceries,Normal
2025-02-10,YELLOW CAB CO,46.18,Debit,Transport,Normal
2025-01-04,LOCAL GROCERY MART,139.41,Debit,Groceries,Normal
2025-03-27,H&M STORE 42,186.56,Debit,Shopping,Normal
2025-02-08,Netflix.com,11.31,Debit,Entertainment,Normal
2025-03-02,APPLE STORE #R1234,125.11,Debit,Shopping,Normal
2025-01-15,PAYPAL *SPOTIFY,9.36,Debit,Entertainment,Normal
2025-03-11,SHELL STATION #221,55.76,Debit,Transport,Normal
2025-01-03,ZARA MALL 09,201.36,Debit,Shopping,Normal
2025-01-31,LOCAL GROCERY MART,37.42,Debit,Groceries,Normal
2025-01-07,Dominos Pizza,15.22,Debit,Food,Normal
2025-03-11,INTERNET CHARGES,164.79,Debit,Utilities,Normal
2025-01-17,METRO TICKET,35.69,Debit,Transport,Normal
2025-02-18,GAS COMPANY,40.83,Debit,Utilities,Normal
2025-02-02,PAYPAL *SPOTIFY,9.01,Debit,Entertainment,Normal
2025-02-22,SHELL STATION #221,48.3,Debit,Transport,Normal
2025-02-08,H&M STORE 42,216.29,Debit,Shopping,Normal
2025-02-02,McDonalds #8492,34.22,Debit,Food,Normal
2025-03-31,ZARA MALL 09,231.95,Debit,Shopping,Normal
2025-03-29,WM SUPERCENTER #382,86.28,Debit,Groceries,Normal
2025-01-11,CINEMA CITY,48.24,Debit,Entertainment,Normal
2025-01-22,Netflix.com,28.43,Debit,Entertainment,Normal
2025-03-05,LOCAL GROCERY MART,87.17,Debit,Groceries,Normal
2025-03-21,COSTCO WHOLESALE,140.72,Debit,Groceries,Normal
2025-02-23,KFC Outlet 22,16.58,Debit,Food,Normal
2025-03-12,AMAZON MKTP US*2R9,147.02,Debit,Shopping,Normal
2025-02-27,PAYPAL *SPOTIFY,79.74,Debit,Entertainment,Normal
2025-01-21,LYFT RIDE PGH,53.83,Debit,Transport,Normal
2025-01-03,LOCAL GROCERY MART,46.48,Debit,Groceries,Normal
2025-01-08,KFC Outlet 22,34.66,Debit,Food,Normal
2025-02-20,CINEMA CITY,8.58,Debit,Entertainment,Normal
2025-02-16,ELECTRIC BILL,150.7,Debit,Utilities,Normal
2025-03-16,STEAM PURCHASE,14.55,Debit,Entertainment,Normal
2025-03-28,COSTCO WHOLESALE,88.9,Debit,Groceries,Normal
2025-02-05,Netflix.com,45.2,Debit,Entertainment,Normal
2025-03-03,AMAZON MKTP US*2R9,209.09,Debit,Shopping,Normal
2025-01-06,INTERNET CHARGES,104.13,Debit,Utilities,Normal
2025-02-13,LOCAL GROCERY MART,127.57,Debit,Groceries,Normal
2025-03-21,CINEMA CITY,68.66,Debit,Entertainment,Normal
2025-01-10,H&M STORE 42,135.98,Debit,Shopping,Normal
2025-03-30,Netflix.com,50.98,Debit,Entertainment,Normal
2025-01-14,ELECTRIC BILL,79.91,Debit,Utilities,Normal
2025-02-01,Netflix.com,49.23,Debit,Entertainment,Normal
2025-03-26,PAYPAL *SPOTIFY,32.0,Debit,Entertainment,Normal
2025-03-28,YELLOW CAB CO,19.68,Debit,Transport,Normal
2025-02-24,AMAZON MKTP US*2R9,161.41,Debit,Shopping,Normal
2025-02-27,YELLOW CAB CO,56.38,Debit,Transport,Normal
2025-02-11,LOCAL GROCERY MART,28.23,Debit,Groceries,Normal
2025-01-14,APPLE STORE #R1234,136.7,Debit,Shopping,Normal
2025-03-15,SHELL STATION #221,32.58,Debit,Transport,Normal
2025-03-18,APPLE STORE #R1234,231.87,Debit,Shopping,Normal
2025-03-05,SPAR HYPERMARKET,55.5,Debit,Groceries,Normal
2025-02-14,COSTCO WHOLESALE,61.31,Debit,Groceries,Normal
