Transaction Date,Description,Amount,Transaction_Type
16-Feb-2025,GAS COMPANY,127.56,Debit
01/25/2025,COSTCO WHOLESALE,150.0,Debit
02-Jan-2025,KFC Outlet 22,26.74,Debit
04-Feb-2025,INTERNET CHARGES,59.22,Debit
02/21/2025,UBER TRIP 284922 CA,16.56,Debit
17/03/2025,ZARA MALL 09,166.96,Debit
02/01/2025,ELECTRIC BILL,126.71,Debit
25/01/2025,CINEMA CITY,33.7,Debit
03-Feb-2025,WATER BILL,170.66,Debit
12/02/2025,McDonalds #8492,30.59,Debit
"Jan 21, 2025",ZARA MALL 09,91.68,Debit
03/05/2025,STEAM PURCHASE,62.32,Debit
02/25/2025,Starbucks Store 0032,21.09,Debit
2025-02-01,YELLOW CAB CO,37.02,Debit
03-Jan-2025,ELECTRIC BILL,150.15,Debit
05-Feb-2025,ELECTRIC BILL,146.23,Debit
25/03/2025,Dominos Pizza,30.23,Debit
"Feb 10, 2025",Dominos Pizza,20.02,Debit
31-Jan-2025,METRO TICKET,9.37,Debit
"Feb 13, 2025",PAYPAL *SPOTIFY,31.98,Debit
2025-02-12,PAYPAL *SPOTIFY,56.25,Debit
02/03/2025,STEAM PURCHASE,26.08,Debit
"Jan 15, 2025",GAS COMPANY,165.93,Debit
01-Apr-2025,Netflix.com,39.94,Debit
03/15/2025,INTERNET CHARGES,105.44,Debit
"Jan 10, 2025",H&M STORE 42,218.21,Debit
"Jan 24, 2025",H&M STORE 42,68.79,Debit
19/02/2025,WM SUPERCENTER #382,132.09,Debit
02/23/2025,ELECTRIC BILL,109.73,Debit
"Jan 29, 2025",ELECTRIC BILL,177.92,Debit
26/03/2025,LOCAL GROCERY MART,141.84,Debit
11-Feb-2025,GAS COMPANY,42.73,Debit
"Mar 02, 2025",AMAZON MKTP US*2R9,104.72,Debit
11/03/2025,ELECTRIC BILL,94.66,Debit
13/03/2025,STEAM PURCHASE,19.15,Debit
03/05/2025,UNKNOWN TRANSACTION 999,1.0,Debit
20/03/2025,SPAR HYPERMARKET,128.82,Debit
"Mar 04, 2025",PAYPAL *SPOTIFY,40.15,Debit
2025-03-09,PAYPAL *SPOTIFY,53.93,Debit
26-Feb-2025,Dominos Pizza,8.43,Debit
"Feb 10, 2025",H&M STORE 42,159.43,Debit
"Jan 07, 2025",SPAR HYPERMARKET,87.75,Debit
07-Feb-2025,Local Diner,31.16,Debit
01-Apr-2025,STEAM PURCHASE,30.83,Debit
16/01/2025,GAS COMPANY,51.03,Debit
"Feb 27, 2025",INTERNET CHARGES,160.99,Debit
03/02/2025,UBER TRIP 284922 CA,54.27,Debit
04/01/2025,GAS COMPANY,118.53,Debit
30/01/2025,APPLE STORE #R1234,204.44,Debit
02/23/2025,TARGET T-2812,114.98,Debit
2025-02-10,WATER BILL,95.01,Debit
"Mar 07, 2025",WATER BILL,85.92,Debit
02/18/2025,PAYPAL *SPOTIFY,52.32,Debit
2025-02-01,Local Diner,14.97,Debit
10-Feb-2025,WATER BILL,131.76,Debit
21/01/2025,GAS COMPANY,131.4,Debit
2025-01-26,LYFT RIDE PGH,48.9,Debit
02/27/2025,Dominos Pizza,12.75,Debit
"Mar 08, 2025",STEAM PURCHASE,11.62,Debit
01-Apr-2025,COSTCO WHOLESALE,79.44,Debit
17-Feb-2025,PAYPAL *SPOTIFY,48.06,Debit
2025-03-17,CINEMA CITY,31.21,Debit
2025-01-29,AMAZON MKTP US*2R9,199.68,Debit
27/02/2025,LOCAL GROCERY MART,118.97,Debit
19-Feb-2025,H&M STORE 42,198.13,Debit
13-Jan-2025,LOCAL GROCERY MART,130.94,Debit
06/03/2025,METRO TICKET,22.19,Debit
"Jan 23, 2025",SHELL STATION #221,52.52,Debit
20/01/2025,STEAM PURCHASE,55.15,Debit
02/02/2025,WM SUPERCENTER #382,118.23,Debit
02/08/2025,APPLE STORE #R1234,153.38,Debit
2025-03-12,PAYPAL *SPOTIFY,27.61,Debit
09/02/2025,SHELL STATION #221,27.19,Debit
23/03/2025,METRO TICKET,13.33,Debit
2025-01-08,ELECTRIC BILL,172.66,Debit
"Jan 18, 2025",PAYPAL *SPOTIFY,9.99,Debit
10/01/2025,STEAM PURCHASE,41.54,Debit
13-Feb-2025,ZARA MALL 09,222.47,Debit
17/01/2025,LOCAL GROCERY MART,82.15,Debit
"Mar 16, 2025",APPLE STORE #R1234,54.06,Debit
18/01/2025,GAS COMPANY,103.51,Debit
08-Jan-2025,INTERNET CHARGES,48.0,Debit
01/30/2025,Starbucks Store 0032,18.3,Debit
03/19/2025,ELECTRIC BILL,169.98,Debit
"Feb 17, 2025",GAS COMPANY,138.27,Debit
"Jan 01, 2025",Local Diner,31.99,Debit
11-Feb-2025,SHELL STATION #221,45.5,Debit
03/12/2025,TARGET T-2812,64.12,Debit
03/06/2025,McDonalds #8492,6.37,Debit
03/02/2025,TARGET T-2812,104.6,Debit
02/04/2025,INTERNET CHARGES,55.62,Debit
15-Jan-2025,Netflix.com,61.39,Debit
"Feb 15, 2025",Netflix.com Subscription,15.99,Debit
"Jan 05, 2025",WATER BILL,135.07,Debit
2025-03-14,APPLE STORE #R1234,39.54,Debit
"Feb 15, 2025",SPAR HYPERMARKET,133.51,Debit
02/14/2025,LOCAL GROCERY MART,93.99,Debit
02/01/2025,COSTCO WHOLESALE,76.25,Debit
02/04/2025,WM SUPERCENTER #382,51.37,Debit
02/09/2025,Netflix.com,53.99,Debit
"Feb 22, 2025",CINEMA CITY,36.97,Debit
2025-02-03,PAYPAL *SPOTIFY,61.37,Debit
19-Mar-2025,LYFT RIDE PGH,53.4,Debit
17/02/2025,Netflix.com,56.59,Debit
24/03/2025,Netflix.com,51.86,Debit
2025-01-21,Starbucks Store 0032,19.3,Debit
03/16/2025,CINEMA CITY,35.43,Debit
23-Feb-2025,WM SUPERCENTER #382,50.85,Debit
12-Jan-2025,COSTCO WHOLESALE,105.21,Debit
07-Jan-2025,STEAM PURCHASE,67.96,Debit
"Mar 13, 2025",ZARA MALL 09,86.19,Debit
04/01/2025,SPAR HYPERMARKET,61.19,Debit
13/02/2025,APPLE STORE #R1234,179.32,Debit
05/03/2025,AMAZON MKTP US*2R9,42.35,Debit
01/12/2025,SPAR HYPERMARKET,68.5,Debit
17/01/2025,GAS COMPANY,61.6,Debit
"Jan 26, 2025",Netflix.com,50.63,Debit
22-Feb-2025,COSTCO WHOLESALE,36.79,Debit
13/01/2025,PAYPAL *SPOTIFY,78.68,Debit
"Mar 27, 2025",LOCAL GROCERY MART,79.76,Debit
06-Jan-2025,YELLOW CAB CO,26.96,Debit
01/23/2025,H&M STORE 42,229.79,Debit
01/05/2025,AMAZON MKTP US*2R9,157.21,Debit
"Feb 07, 2025",INTERNET CHARGES,43.07,Debit
"Feb 20, 2025",Starbucks Store 0032,400.0,Debit
"Feb 02, 2025",McDonalds #8492,27.23,Debit
06/01/2025,LYFT RIDE PGH,54.06,Debit
01/18/2025,INTERNET CHARGES,95.72,Debit
05/02/2025,ELECTRIC BILL,58.01,Debit
24/03/2025,UBER TRIP 284922 CA,41.04,Debit
06-Jan-2025,Starbucks Store 0032,9.8,Debit
"Jan 19, 2025",WATER BILL,104.56,Debit
01/01/2025,TARGET T-2812,220.07,Debit
10-Jan-2025,WATER BILL,176.13,Debit
2025-03-03,WATER BILL,47.96,Debit
24-Feb-2025,LOCAL GROCERY MART,35.84,Debit
2025-01-31,STEAM PURCHASE,51.96,Debit
2025-03-24,Netflix.com,30.24,Debit
2025-03-21,STEAM PURCHASE,18.64,Debit
2025-02-08,SPAR HYPERMARKET,63.17,Debit
"Feb 18, 2025",INTERNET CHARGES,127.75,Debit
25/02/2025,H&M STORE 42,26.68,Debit
23/03/2025,CINEMA CITY,14.72,Debit
2025-03-25,Local Diner,14.56,Debit
01/04/2025,LYFT RIDE PGH,49.27,Debit
2025-03-13,COSTCO WHOLESALE,111.33,Debit
11/01/2025,GAS COMPANY,161.87,Debit
28-Mar-2025,STEAM PURCHASE,45.94,Debit
"Mar 10, 2025",COSTCO WHOLESALE,120.23,Debit
03/11/2025,ZARA MALL 09,175.45,Debit
2025-01-21,INTERNET CHARGES,92.2,Debit
01-Mar-2025,INTERNET CHARGES,175.95,Debit
24-Feb-2025,Netflix.com,39.0,Debit
"Mar 07, 2025",PAYPAL *SPOTIFY,59.74,Debit
"Feb 11, 2025",COSTCO WHOLESALE,25.85,Debit
2025-02-17,H&M STORE 42,195.51,Debit
2025-01-15,Netflix.com Subscription,15.99,Debit
27-Mar-2025,Local Diner,26.81,Debit
04-Mar-2025,WM SUPERCENTER #382,97.13,Debit
"Jan 11, 2025",WATER BILL,61.12,Debit
2025-01-06,SPAR HYPERMARKET,147.63,Debit
2025-03-31,METRO TICKET,25.69,Debit
08-Feb-2025,INTERNET CHARGES,111.02,Debit
03/10/2025,LYFT RIDE PGH,16.5,Debit
02-Jan-2025,H&M STORE 42,209.14,Debit
03/19/2025,METRO TICKET,9.81,Debit
2025-01-07,WM SUPERCENTER #382,32.58,Debit
27-Feb-2025,WM SUPERCENTER #382,138.23,Debit
"Feb 14, 2025",Dominos Pizza,17.86,Debit
28/03/2025,PAYPAL *SPOTIFY,76.6,Debit
2025-01-31,AMAZON MKTP US*2R9,197.45,Debit
2025-01-31,APPLE STORE #R1234,94.47,Debit
17-Mar-2025,LYFT RIDE PGH,8.37,Debit
28/02/2025,ZARA MALL 09,173.37,Debit
01/02/2025,SHELL STATION #221,36.03,Debit
17/02/2025,LOCAL GROCERY MART,125.14,Debit
16-Jan-2025,SPAR HYPERMARKET,111.08,Debit
28-Mar-2025,Starbucks Store 0032,14.52,Debit
02/23/2025,GAS COMPANY,118.95,Debit
01/18/2025,ELECTRIC BILL,78.67,Debit
03/10/2025,McDonalds #8492,9.49,Debit
"Feb 10, 2025",Starbucks Store 0032,34.37,Debit
2025-01-05,INTERNET CHARGES,162.69,Debit
01/10/2025,YELLOW CAB CO,51.91,Debit
"Feb 02, 2025",METRO TICKET,58.3,Debit
"Mar 28, 2025",GAS COMPANY,165.41,Debit
14-Feb-2025,WATER BILL,162.91,Debit
04/02/2025,METRO TICKET,55.08,Debit
18/02/2025,ZARA MALL 09,68.68,Debit
01/19/2025,UBER TRIP 284922 CA,10.4,Debit
2025-01-28,GAS COMPANY,98.78,Debit
2025-03-27,PAYPAL *SPOTIFY,34.22,Debit
2025-02-25,Local Diner,27.25,Debit
"Feb 13, 2025",Netflix.com,25.9,Debit
"Mar 09, 2025",INTERNET CHARGES,103.52,Debit
"Feb 26, 2025",WM SUPERCENTER #382,99.75,Debit
27-Jan-2025,ZARA MALL 09,181.42,Debit
"Mar 20, 2025",SPAR HYPERMARKET,142.38,Debit
2025-01-17,Dominos Pizza,38.79,Debit
2025-01-17,SHELL STATION #221,18.67,Debit
17/02/2025,APPLE STORE #R1234,70.8,Debit
2025-03-12,CINEMA CITY,33.33,Debit
"Mar 20, 2025",H&M STORE 42,83.15,Debit
"Jan 07, 2025",STEAM PURCHASE,20.28,Debit
01/31/2025,KFC Outlet 22,25.02,Debit
15-Feb-2025,McDonalds #8492,28.87,Debit
2025-02-13,WM SUPERCENTER #382,86.79,Debit
01-Mar-2025,STEAM PURCHASE,53.48,Debit
2025-03-02,Netflix.com,14.57,Debit
03/02/2025,UBER TRIP 284922 CA,14.59,Debit
25/03/2025,STEAM PURCHASE,23.87,Debit
30-Mar-2025,PAYPAL *SPOTIFY,59.33,Debit
"Jan 18, 2025",Starbucks Store 0032,38.12,Debit
03/28/2025,GAS COMPANY,79.78,Debit
2025-03-25,WATER BILL,85.01,Debit
2025-03-23,LOCAL GROCERY MART,45.33,Debit
02/13/2025,Starbucks Store 0032,25.59,Debit
15-Jan-2025,ELECTRIC BILL,156.03,Debit
11-Mar-2025,CINEMA CITY,54.22,Debit
2025-01-04,Starbucks Store 0032,12.65,Debit
13/01/2025,CINEMA CITY,38.73,Debit
03/02/2025,INTERNET CHARGES,45.13,Debit
2025-01-10,ELECTRIC BILL,99.32,Debit
13/02/2025,WATER BILL,156.25,Debit
17-Jan-2025,SHELL STATION #221,21.03,Debit
28/03/2025,Local Diner,25.17,Debit
"Mar 16, 2025",STEAM PURCHASE,72.64,Debit
2025-03-05,Dominos Pizza,23.76,Debit
03/22/2025,YELLOW CAB CO,59.87,Debit
22/03/2025,Netflix.com,24.48,Debit
11-Feb-2025,AMAZON MKTP US*2R9,217.28,Debit
19/03/2025,WATER BILL,61.4,Debit
11-Mar-2025,Netflix.com,79.99,Debit
"Feb 26, 2025",H&M STORE 42,47.93,Debit
03-Mar-2025,LYFT RIDE PGH,31.66,Debit
03/08/2025,CINEMA CITY,52.35,Debit
"Jan 21, 2025",METRO TICKET,59.79,Debit
24/02/2025,STEAM PURCHASE,51.71,Debit
2025-03-03,CINEMA CITY,60.17,Debit
20-Feb-2025,Dominos Pizza,21.0,Debit
02/13/2025,SPAR HYPERMARKET,74.84,Debit
2025-04-01,INTERNET CHARGES,50.93,Debit
2025-01-07,COSTCO WHOLESALE,70.32,Debit
"Jan 28, 2025",AMAZON MKTP US*2R9,153.21,Debit
09/01/2025,LYFT RIDE PGH,22.3,Debit
2025-02-01,Netflix.com,58.2,Debit
02/25/2025,METRO TICKET,54.18,Debit
01-Mar-2025,YELLOW CAB CO,47.88,Debit
25-Jan-2025,AMAZON MKTP US*2R9,238.27,Debit
30-Mar-2025,WATER BILL,66.82,Debit
"Mar 14, 2025",ELECTRIC BILL,51.75,Debit
02/02/2025,CINEMA CITY,76.66,Debit
2025-03-21,ELECTRIC BILL,125.26,Debit
03/15/2025,CINEMA CITY,54.88,Debit
"Jan 07, 2025",CINEMA CITY,51.23,Debit
"Jan 29, 2025",UBER TRIP 284922 CA,42.32,Debit
25/03/2025,H&M STORE 42,49.66,Debit
03/27/2025,YELLOW CAB CO,20.41,Debit
31-Jan-2025,ZARA MALL 09,48.03,Debit
"Mar 18, 2025",Netflix.com,45.84,Debit
"Feb 21, 2025",APPLE STORE #R1234,211.76,Debit
12/02/2025,Netflix.com,31.74,Debit
24-Mar-2025,KFC Outlet 22,35.59,Debit
"Mar 10, 2025",ELECTRIC BILL,110.36,Debit
2025-01-29,GAS COMPANY,103.07,Debit
16-Jan-2025,Dominos Pizza,10.36,Debit
01/08/2025,ELECTRIC BILL,68.62,Debit
26/03/2025,GAS COMPANY,49.74,Debit
2025-02-27,PAYPAL *SPOTIFY,46.45,Debit
2025-01-28,YELLOW CAB CO,13.31,Debit
03/20/2025,Dominos Pizza,22.75,Debit
22/03/2025,Local Diner,34.46,Debit
"Feb 26, 2025",AMAZON MKTP US*2R9,184.12,Debit
01/04/2025,SPAR HYPERMARKET,73.26,Debit
"Mar 31, 2025",STEAM PURCHASE,50.29,Debit
02/08/2025,YELLOW CAB CO,44.65,Debit
02/05/2025,METRO TICKET,20.99,Debit
2025-02-02,UBER TRIP 284922 CA,44.86,Debit
2025-01-18,YELLOW CAB CO,23.05,Debit
2025-03-06,SPAR HYPERMARKET,145.78,Debit
01/01/2025,KFC Outlet 22,31.15,Debit
"Mar 11, 2025",WM SUPERCENTER #382,102.18,Debit
02/10/2025,YELLOW CAB CO,46.18,Debit
01/04/2025,LOCAL GROCERY MART,139.41,Debit
2025-03-27,H&M STORE 42,186.56,Debit
08/02/2025,Netflix.com,11.31,Debit
2025-03-02,APPLE STORE #R1234,125.11,Debit
15/01/2025,PAYPAL *SPOTIFY,9.36,Debit
"Mar 11, 2025",SHELL STATION #221,55.76,Debit
"Jan 03, 2025",ZARA MALL 09,201.36,Debit
31-Jan-2025,LOCAL GROCERY MART,37.42,Debit
07-Jan-2025,Dominos Pizza,15.22,Debit
11-Mar-2025,INTERNET CHARGES,164.79,Debit
"Jan 17, 2025",METRO TICKET,35.69,Debit
2025-02-18,GAS COMPANY,40.83,Debit
2025-02-02,PAYPAL *SPOTIFY,9.01,Debit
2025-02-22,SHELL STATION #221,48.3,Debit
02/08/2025,H&M STORE 42,216.29,Debit
02-Feb-2025,McDonalds #8492,34.22,Debit
2025-03-31,ZARA MALL 09,231.95,Debit
29-Mar-2025,WM SUPERCENTER #382,86.28,Debit
11-Jan-2025,CINEMA CITY,48.24,Debit
01/22/2025,Netflix.com,28.43,Debit
"Mar 05, 2025",LOCAL GROCERY MART,87.17,Debit
2025-03-21,COSTCO WHOLESALE,140.72,Debit
02/23/2025,KFC Outlet 22,16.58,Debit
"Mar 12, 2025",AMAZON MKTP US*2R9,147.02,Debit
"Feb 27, 2025",PAYPAL *SPOTIFY,79.74,Debit
2025-01-21,LYFT RIDE PGH,53.83,Debit
03-Jan-2025,LOCAL GROCERY MART,46.48,Debit
08/01/2025,KFC Outlet 22,34.66,Debit
20-Feb-2025,CINEMA CITY,8.58,Debit
16-Feb-2025,ELECTRIC BILL,150.7,Debit
16/03/2025,STEAM PURCHASE,14.55,Debit
"Mar 28, 2025",COSTCO WHOLESALE,88.9,Debit
05/02/2025,Netflix.com,45.2,Debit
03/03/2025,AMAZON MKTP US*2R9,209.09,Debit
01/06/2025,INTERNET CHARGES,104.13,Debit
02/13/2025,LOCAL GROCERY MART,127.57,Debit
03/21/2025,CINEMA CITY,68.66,Debit
"Jan 10, 2025",H&M STORE 42,135.98,Debit
30/03/2025,Netflix.com,50.98,Debit
2025-01-14,ELECTRIC BILL,79.91,Debit
01/02/2025,Netflix.com,49.23,Debit
"Mar 26, 2025",PAYPAL *SPOTIFY,32.0,Debit
03/28/2025,YELLOW CAB CO,19.68,Debit
"Feb 24, 2025",AMAZON MKTP US*2R9,161.41,Debit
02/27/2025,YELLOW CAB CO,56.38,Debit
"Feb 11, 2025",LOCAL GROCERY MART,28.23,Debit
2025-01-14,APPLE STORE #R1234,136.7,Debit
03/15/2025,SHELL STATION #221,32.58,Debit
03/18/2025,APPLE STORE #R1234,231.87,Debit
05/03/2025,SPAR HYPERMARKET,55.5,Debit
"Feb 14, 2025",COSTCO WHOLESALE,61.31,Debit
29-Mar-2025,Netflix.com,54.51,Debit
17-Mar-2025,SHELL STATION #221,16.02,Debit
02/02/2025,STEAM PURCHASE,23.41,Debit
"Jan 24, 2025",TARGET T-2812,98.6,Debit
2025-02-20,Local Diner,32.82,Debit
26/02/2025,UBER TRIP 284922 CA,29.36,Debit
03/01/2025,H&M STORE 42,28.65,Debit
2025-01-26,WATER BILL,63.04,Debit
"Feb 03, 2025",Dominos Pizza,9.33,Debit
02/07/2025,Local Diner,18.12,Debit
08-Feb-2025,APPLE STORE #R1234,186.26,Debit
"Jan 13, 2025",KFC Outlet 22,16.56,Debit
03/08/2025,Dominos Pizza,29.04,Debit
"Mar 01, 2025",SHELL STATION #221,39.74,Debit
03/19/2025,GAS COMPANY,55.57,Debit
"Mar 20, 2025",SPAR HYPERMARKET,56.03,Debit
10-Jan-2025,KFC Outlet 22,17.72,Debit
01/02/2025,KFC Outlet 22,25.61,Debit
02/12/2025,LYFT RIDE PGH,49.01,Debit
01/17/2025,WM SUPERCENTER #382,138.37,Debit
01-Mar-2025,COSTCO WHOLESALE,67.52,Debit
07/03/2025,WM SUPERCENTER #382,107.21,Debit
"Jan 05, 2025",ZARA MALL 09,69.97,Debit
03/15/2025,METRO TICKET,17.74,Debit
15/01/2025,PAYPAL *SPOTIFY,77.46,Debit
"Jan 15, 2025",UBER TRIP 284922 CA,14.85,Debit
02/27/2025,WATER BILL,144.11,Debit
03/06/2025,Dominos Pizza,34.23,Debit
"Jan 02, 2025",APPLE STORE #R1234,49.11,Debit
14-Jan-2025,KFC Outlet 22,9.69,Debit
20/01/2025,Netflix.com,41.8,Debit
02/02/2025,ZARA MALL 09,46.66,Debit
"Jan 16, 2025",CINEMA CITY,44.51,Debit
02/06/2025,TARGET T-2812,118.87,Debit
"Mar 23, 2025",WATER BILL,147.49,Debit
01/10/2025,SHELL STATION #221,40.93,Debit
2025-02-26,LOCAL GROCERY MART,124.54,Debit
28-Mar-2025,SHELL STATION #221,38.53,Debit
31/01/2025,SPAR HYPERMARKET,119.22,Debit
05-Feb-2025,PAYPAL *SPOTIFY,77.16,Debit
30-Mar-2025,CINEMA CITY,10.08,Debit
20/03/2025,WM SUPERCENTER #382,81.93,Debit
01-Mar-2025,ACH DEPOSIT SALARY,3500.0,Credit
2025-02-12,PAYPAL *SPOTIFY,11.19,Debit
"Jan 05, 2025",LOCAL GROCERY MART,116.54,Debit
11/02/2025,ZARA MALL 09,168.56,Debit
"Mar 12, 2025",COSTCO WHOLESALE,58.13,Debit
01/23/2025,APPLE STORE #R1234,241.38,Debit
2025-01-28,SHELL STATION #221,26.35,Debit
"Feb 01, 2025",ACH DEPOSIT SALARY,3500.0,Credit
"Jan 16, 2025",METRO TICKET,14.93,Debit
11/01/2025,CINEMA CITY,12.87,Debit
01/16/2025,LOCAL GROCERY MART,81.2,Debit
24/02/2025,WATER BILL,170.05,Debit
03/29/2025,APPLE STORE #R1234,205.27,Debit
06/02/2025,SPAR HYPERMARKET,112.07,Debit
"Mar 26, 2025",PAYPAL *SPOTIFY,53.23,Debit
"Jan 27, 2025",INTERNET CHARGES,68.5,Debit
2025-02-07,CINEMA CITY,37.92,Debit
"Mar 04, 2025",STEAM PURCHASE,65.09,Debit
10-Jan-2025,WM SUPERCENTER #382,65.26,Debit
"Jan 06, 2025",Netflix.com,76.37,Debit
22-Mar-2025,APPLE STORE #R1234,223.65,Debit
"Feb 03, 2025",PAYPAL *SPOTIFY,44.55,Debit
07-Mar-2025,METRO TICKET,12.73,Debit
06-Jan-2025,INTERNET CHARGES,114.58,Debit
"Mar 30, 2025",COSTCO WHOLESALE,113.3,Debit
27-Jan-2025,Local Diner,24.22,Debit
2025-03-27,ZARA MALL 09,183.19,Debit
02/03/2025,Local Diner,29.25,Debit
21-Feb-2025,CINEMA CITY,44.03,Debit
11-Jan-2025,ZARA MALL 09,232.52,Debit
2025-01-14,CINEMA CITY,64.17,Debit
2025-02-12,Starbucks Store 0032,23.0,Debit
29/01/2025,Starbucks Store 0032,21.15,Debit
03/28/2025,STEAM PURCHASE,28.57,Debit
23/03/2025,Netflix.com,14.61,Debit
19-Mar-2025,SHELL STATION #221,28.87,Debit
2025-01-12,YELLOW CAB CO,53.84,Debit
24-Feb-2025,WATER BILL,136.57,Debit
"Mar 25, 2025",APPLE STORE #R1234,152.86,Debit
01/11/2025,ELECTRIC BILL,142.47,Debit
"Jan 05, 2025",PAYPAL *SPOTIFY,38.09,Debit
2025-03-10,GAS COMPANY,139.22,Debit
2025-03-13,KFC Outlet 22,26.22,Debit
2025-01-14,LOCAL GROCERY MART,147.8,Debit
03/23/2025,LYFT RIDE PGH,40.29,Debit
04/02/2025,COSTCO WHOLESALE,119.37,Debit
18-Mar-2025,Netflix.com,64.82,Debit
25-Mar-2025,PAYPAL *SPOTIFY,43.66,Debit
29-Jan-2025,WATER BILL,167.18,Debit
19-Mar-2025,ELECTRIC BILL,118.57,Debit
13-Jan-2025,H&M STORE 42,42.93,Debit
07/02/2025,APPLE STORE #R1234,175.11,Debit
"Jan 08, 2025",COSTCO WHOLESALE,89.84,Debit
03/02/2025,TARGET T-2812,194.53,Debit
"Jan 14, 2025",STEAM PURCHASE,70.8,Debit
"Mar 02, 2025",SHELL STATION #221,41.88,Debit
09-Jan-2025,METRO TICKET,9.92,Debit
17-Mar-2025,WATER BILL,73.94,Debit
21/02/2025,SHELL STATION #221,56.0,Debit
03/18/2025,STEAM PURCHASE,28.97,Debit
2025-02-14,KFC Outlet 22,8.88,Debit
"Feb 17, 2025",Netflix.com,44.43,Debit
2025-01-23,Local Diner,32.38,Debit
03/28/2025,STEAM PURCHASE,77.64,Debit
"Jan 10, 2025",COSTCO WHOLESALE,140.49,Debit
2025-03-11,Netflix.com,77.77,Debit
2025-03-07,LOCAL GROCERY MART,27.28,Debit
03/03/2025,TARGET T-2812,205.08,Debit
02/27/2025,ELECTRIC BILL,74.71,Debit
03/29/2025,Starbucks Store 0032,28.86,Debit
03/15/2025,Local Diner,21.43,Debit
"Mar 27, 2025",LOCAL GROCERY MART,143.75,Debit
16/02/2025,COSTCO WHOLESALE,149.67,Debit
