date,description,amount,transaction_type,Category,Label,year,month,day,day_of_week,year_month,base_category,cluster_id,anomaly_score,is_anomaly
2025-03-09,WM SUPERCENTER #382,118.21,Debit,Groceries,Normal,2025,3,9,6,2025-03,Other,1,0.06151949245006394,False
2025-03-29,CINEMA CITY,51.93,Debit,Entertainment,Normal,2025,3,29,5,2025-03,Other,1,0.12807926603497793,False
2025-03-13,ZARA MALL 09,193.64,Debit,Shopping,Normal,2025,3,13,3,2025-03,Shopping,1,0.06691220362603778,False
2025-02-03,ELECTRIC BILL,142.16,Debit,Utilities,Normal,2025,2,3,0,2025-02,Utilities,0,0.032239282612555153,False
2025-03-11,Netflix.com,50.52,Debit,Entertainment,Normal,2025,3,11,1,2025-03,Entertainment,2,0.06900078829411949,False
2025-01-25,Local Diner,9.18,Debit,Food,Normal,2025,1,25,5,2025-01,Food,2,0.017022132927593803,False
2025-01-24,APPLE STORE #R1234,120.25,Debit,Shopping,Normal,2025,1,24,4,2025-01,Shopping,4,0.08514392882608313,False
2025-02-12,PAYPAL *SPOTIFY,17.91,Debit,Entertainment,Normal,2025,2,12,2,2025-02,Entertainment,2,0.06440996023734069,False
2025-03-03,GAS COMPANY,100.98,Debit,Utilities,Normal,2025,3,3,0,2025-03,Other,0,0.0711495111654058,False
2025-02-24,McDonalds #8492,11.16,Debit,Food,Normal,2025,2,24,0,2025-02,Food,2,0.04207692661082274,False
2025-02-10,PAYPAL *SPOTIFY,39.66,Debit,Entertainment,Normal,2025,2,10,0,2025-02,Entertainment,2,0.06512527444602789,False
2025-01-16,INTERNET CHARGES,148.5,Debit,Utilities,Normal,2025,1,16,3,2025-01,Utilities,4,0.029879159291629986,False
2025-03-19,SHELL STATION #221,58.11,Debit,Transport,Normal,2025,3,19,2,2025-03,Other,0,0.14375133933565876,False
2025-03-31,LOCAL GROCERY MART,106.15,Debit,Groceries,Normal,2025,3,31,0,2025-03,Other,0,0.0702717878017256,False
2025-01-11,CINEMA CITY,69.37,Debit,Entertainment,Normal,2025,1,11,5,2025-01,Other,4,0.09254443049746697,False
2025-02-12,LOCAL GROCERY MART,133.04,Debit,Groceries,Normal,2025,2,12,2,2025-02,Other,0,0.12241645767634929,False
2025-03-22,LYFT RIDE PGH,21.76,Debit,Transport,Normal,2025,3,22,5,2025-03,Transport,1,0.06628832322198863,False
2025-01-13,ELECTRIC BILL,115.27,Debit,Utilities,Normal,2025,1,13,0,2025-01,Utilities,4,0.00974112344503808,False
2025-03-07,WATER BILL,166.83,Debit,Utilities,Normal,2025,3,7,4,2025-03,Utilities,1,0.022542205072828336,False
2025-02-11,GAS COMPANY,113.57,Debit,Utilities,Normal,2025,2,11,1,2025-02,Other,0,0.12213013427700647,False
2025-02-25,UBER TRIP 284922 CA,57.21,Debit,Transport,Normal,2025,2,25,1,2025-02,Transport,0,0.0949145359040996,False
2025-02-26,ELECTRIC BILL,135.24,Debit,Utilities,Normal,2025,2,26,2,2025-02,Utilities,0,0.07588289757376204,False
2025-01-07,PAYPAL *SPOTIFY,18.74,Debit,Entertainment,Normal,2025,1,7,1,2025-01,Entertainment,2,0.0046716888883635566,False
2025-01-06,TARGET T-2812,110.91,Debit,Shopping,Normal,2025,1,6,0,2025-01,Shopping,4,0.03360747768381056,False
2025-02-24,Netflix.com,35.7,Debit,Entertainment,Normal,2025,2,24,0,2025-02,Entertainment,2,0.06372235489106803,False
2025-02-07,UBER TRIP 284922 CA,8.48,Debit,Transport,Normal,2025,2,7,4,2025-02,Transport,1,0.06619432258061397,False
2025-02-09,APPLE STORE #R1234,111.59,Debit,Shopping,Normal,2025,2,9,6,2025-02,Shopping,1,0.060205246601229834,False
2025-03-25,UBER TRIP 284922 CA,17.21,Debit,Transport,Normal,2025,3,25,1,2025-03,Transport,0,0.06567502923027635,False
2025-01-20,McDonalds #8492,31.41,Debit,Food,Normal,2025,1,20,0,2025-01,Food,2,0.018807973486566487,False
2025-01-29,COSTCO WHOLESALE,127.07,Debit,Groceries,Normal,2025,1,29,2,2025-01,Other,4,0.09074319160472782,False
2025-03-18,PAYPAL *SPOTIFY,9.99,Debit,Entertainment,Recurring,2025,3,18,1,2025-03,Entertainment,2,0.03625133743557285,False
2025-03-18,INTERNET CHARGES,177.27,Debit,Utilities,Normal,2025,3,18,1,2025-03,Utilities,0,0.018309842780189767,False
2025-02-19,LYFT RIDE PGH,55.94,Debit,Transport,Normal,2025,2,19,2,2025-02,Transport,0,0.10476814811424384,False
2025-01-11,WATER BILL,49.59,Debit,Utilities,Normal,2025,1,11,5,2025-01,Utilities,4,0.042282751236274896,False
2025-03-01,GAS COMPANY,47.59,Debit,Utilities,Normal,2025,3,1,5,2025-03,Other,1,0.1316500770721194,False
2025-02-21,TARGET T-2812,194.95,Debit,Shopping,Normal,2025,2,21,4,2025-02,Shopping,1,0.07758493240026465,False
2025-01-18,SPAR HYPERMARKET,47.72,Debit,Groceries,Normal,2025,1,18,5,2025-01,Other,4,0.11018125981434551,False
2025-03-10,COSTCO WHOLESALE,86.03,Debit,Groceries,Normal,2025,3,10,0,2025-03,Other,0,0.07878567369770162,False
2025-02-08,ELECTRIC BILL,171.45,Debit,Utilities,Normal,2025,2,8,5,2025-02,Utilities,1,0.036122366551640916,False
2025-02-05,WATER BILL,127.5,Debit,Utilities,Normal,2025,2,5,2,2025-02,Utilities,0,0.07611298607203598,False
2025-03-12,WM SUPERCENTER #382,81.85,Debit,Groceries,Normal,2025,3,12,2,2025-03,Other,0,0.13246905115471064,False
2025-03-15,Netflix.com Subscription,15.99,Debit,Entertainment,Recurring,2025,3,15,5,2025-03,Entertainment,2,0.03091905905556913,False
2025-02-01,SHELL STATION #221,29.43,Debit,Transport,Normal,2025,2,1,5,2025-02,Other,1,0.1333217767013407,False
2025-01-15,McDonalds #8492,26.96,Debit,Food,Normal,2025,1,15,2,2025-01,Food,2,0.06476887351993266,False
2025-02-06,KFC Outlet 22,25.91,Debit,Food,Normal,2025,2,6,3,2025-02,Other,4,0.15027516008087222,False
2025-01-21,McDonalds #8492,11.08,Debit,Food,Normal,2025,1,21,1,2025-01,Food,2,0.03528630271433464,False
2025-03-24,SPAR HYPERMARKET,42.86,Debit,Groceries,Normal,2025,3,24,0,2025-03,Other,0,0.09957965517739092,False
2025-03-16,Starbucks Store 0032,37.51,Debit,Food,Normal,2025,3,16,6,2025-03,Food,1,0.03420982588960453,False
2025-03-09,GAS COMPANY,164.5,Debit,Utilities,Normal,2025,3,9,6,2025-03,Other,1,0.019641137649113793,False
2025-02-21,CINEMA CITY,40.66,Debit,Entertainment,Normal,2025,2,21,4,2025-02,Other,1,0.14399324973014765,False
2025-02-04,YELLOW CAB CO,24.62,Debit,Transport,Normal,2025,2,4,1,2025-02,Transport,0,0.09040448393462364,False
2025-03-30,LOCAL GROCERY MART,82.1,Debit,Groceries,Normal,2025,3,30,6,2025-03,Other,1,0.08717946355659356,False
2025-01-11,LYFT RIDE PGH,45.44,Debit,Transport,Normal,2025,1,11,5,2025-01,Transport,4,0.06470480959282177,False
2025-02-16,GAS COMPANY,127.56,Debit,Utilities,Normal,2025,2,16,6,2025-02,Other,1,0.058192202872890064,False
2025-01-25,COSTCO WHOLESALE,150.0,Debit,Groceries,Normal,2025,1,25,5,2025-01,Other,4,0.05701980103659454,False
2025-01-02,KFC Outlet 22,26.74,Debit,Food,Normal,2025,1,2,3,2025-01,Other,4,0.11926124364973412,False
2025-02-04,INTERNET CHARGES,59.22,Debit,Utilities,Normal,2025,2,4,1,2025-02,Utilities,0,0.06431990963893097,False
2025-02-21,UBER TRIP 284922 CA,16.56,Debit,Transport,Normal,2025,2,21,4,2025-02,Transport,1,0.08717872856152009,False
2025-03-17,ZARA MALL 09,166.96,Debit,Shopping,Normal,2025,3,17,0,2025-03,Shopping,0,0.03781616190161763,False
2025-02-01,ELECTRIC BILL,126.71,Debit,Utilities,Normal,2025,2,1,5,2025-02,Utilities,1,0.04023000573583302,False
2025-01-25,CINEMA CITY,33.7,Debit,Entertainment,Normal,2025,1,25,5,2025-01,Other,4,0.10474413629882617,False
2025-02-03,WATER BILL,170.66,Debit,Utilities,Normal,2025,2,3,0,2025-02,Utilities,0,0.014999981379186011,False
2025-02-12,McDonalds #8492,30.59,Debit,Food,Normal,2025,2,12,2,2025-02,Food,2,0.09483718110616596,False
2025-01-21,ZARA MALL 09,91.68,Debit,Shopping,Normal,2025,1,21,1,2025-01,Shopping,4,0.07323931997836897,False
2025-03-05,STEAM PURCHASE,62.32,Debit,Entertainment,Normal,2025,3,5,2,2025-03,Other,0,0.1437689972965655,False
2025-02-25,Starbucks Store 0032,21.09,Debit,Food,Normal,2025,2,25,1,2025-02,Food,2,0.08263441354850865,False
2025-02-01,YELLOW CAB CO,37.02,Debit,Transport,Normal,2025,2,1,5,2025-02,Transport,1,0.08644175902993417,False
2025-01-03,ELECTRIC BILL,150.15,Debit,Utilities,Normal,2025,1,3,4,2025-01,Utilities,4,0.028632734527858084,False
2025-02-05,ELECTRIC BILL,146.23,Debit,Utilities,Normal,2025,2,5,2,2025-02,Utilities,0,0.06956489042213443,False
2025-03-25,Dominos Pizza,30.23,Debit,Food,Normal,2025,3,25,1,2025-03,Other,0,0.1276724330755752,False
2025-02-10,Dominos Pizza,20.02,Debit,Food,Normal,2025,2,10,0,2025-02,Other,0,0.10150704275947486,False
2025-01-31,METRO TICKET,9.37,Debit,Transport,Normal,2025,1,31,4,2025-01,Other,4,0.10280255697065815,False
2025-02-13,PAYPAL *SPOTIFY,31.98,Debit,Entertainment,Normal,2025,2,13,3,2025-02,Entertainment,2,0.0654057398915443,False
2025-02-12,PAYPAL *SPOTIFY,56.25,Debit,Entertainment,Normal,2025,2,12,2,2025-02,Entertainment,2,0.07874783603785418,False
2025-02-03,STEAM PURCHASE,26.08,Debit,Entertainment,Normal,2025,2,3,0,2025-02,Other,0,0.1111179339643385,False
2025-01-15,GAS COMPANY,165.93,Debit,Utilities,Normal,2025,1,15,2,2025-01,Other,4,0.0669601553809398,False
2025-04-01,Netflix.com,39.94,Debit,Entertainment,Normal,2025,4,1,1,2025-04,Entertainment,2,-0.06464106833452099,True
2025-03-15,INTERNET CHARGES,105.44,Debit,Utilities,Normal,2025,3,15,5,2025-03,Utilities,1,0.02681606216010235,False
2025-01-10,H&M STORE 42,218.21,Debit,Shopping,Normal,2025,1,10,4,2025-01,Shopping,4,0.0455262583057765,False
2025-01-24,H&M STORE 42,68.79,Debit,Shopping,Normal,2025,1,24,4,2025-01,Shopping,4,0.08762638851612942,False
2025-02-19,WM SUPERCENTER #382,132.09,Debit,Groceries,Normal,2025,2,19,2,2025-02,Other,0,0.12241645767634929,False
2025-02-23,ELECTRIC BILL,109.73,Debit,Utilities,Normal,2025,2,23,6,2025-02,Utilities,1,0.019325652565337026,False
2025-01-29,ELECTRIC BILL,177.92,Debit,Utilities,Normal,2025,1,29,2,2025-01,Utilities,4,0.02935735346824464,False
2025-03-26,LOCAL GROCERY MART,141.84,Debit,Groceries,Normal,2025,3,26,2,2025-03,Other,0,0.10512342380293732,False
2025-02-11,GAS COMPANY,42.73,Debit,Utilities,Normal,2025,2,11,1,2025-02,Other,0,0.14410939351522578,False
2025-03-02,AMAZON MKTP US*2R9,104.72,Debit,Shopping,Normal,2025,3,2,6,2025-03,Shopping,1,0.05843628056640027,False
2025-03-11,ELECTRIC BILL,94.66,Debit,Utilities,Normal,2025,3,11,1,2025-03,Utilities,0,0.050288485747967515,False
2025-03-13,STEAM PURCHASE,19.15,Debit,Entertainment,Normal,2025,3,13,3,2025-03,Other,1,0.13911490147187705,False
2025-03-05,UNKNOWN TRANSACTION 999,1.0,Debit,Uncategorized,Anomaly,2025,3,5,2,2025-03,Other,0,0.10548509357591274,False
2025-03-20,SPAR HYPERMARKET,128.82,Debit,Groceries,Normal,2025,3,20,3,2025-03,Other,1,0.12455782192858172,False
2025-03-04,PAYPAL *SPOTIFY,40.15,Debit,Entertainment,Normal,2025,3,4,1,2025-03,Entertainment,2,0.06939270980179735,False
2025-03-09,PAYPAL *SPOTIFY,53.93,Debit,Entertainment,Normal,2025,3,9,6,2025-03,Entertainment,2,0.03332794861659516,False
2025-02-26,Dominos Pizza,8.43,Debit,Food,Normal,2025,2,26,2,2025-02,Other,0,0.1168331224142441,False
2025-02-10,H&M STORE 42,159.43,Debit,Shopping,Normal,2025,2,10,0,2025-02,Shopping,0,0.06869866201917796,False
2025-01-07,SPAR HYPERMARKET,87.75,Debit,Groceries,Normal,2025,1,7,1,2025-01,Other,4,0.1003062681267623,False
2025-02-07,Local Diner,31.16,Debit,Food,Normal,2025,2,7,4,2025-02,Food,2,0.08556414222311137,False
2025-04-01,STEAM PURCHASE,30.83,Debit,Entertainment,Normal,2025,4,1,1,2025-04,Other,0,-0.03893934553855494,True
2025-01-16,GAS COMPANY,51.03,Debit,Utilities,Normal,2025,1,16,3,2025-01,Other,4,0.1296227677515867,False
2025-02-27,INTERNET CHARGES,160.99,Debit,Utilities,Normal,2025,2,27,3,2025-02,Utilities,4,0.06969317389649876,False
2025-02-03,UBER TRIP 284922 CA,54.27,Debit,Transport,Normal,2025,2,3,0,2025-02,Transport,0,0.06692589650406444,False
2025-04-01,GAS COMPANY,118.53,Debit,Utilities,Normal,2025,4,1,1,2025-04,Other,0,-0.05316923790806427,True
2025-01-30,APPLE STORE #R1234,204.44,Debit,Shopping,Normal,2025,1,30,3,2025-01,Shopping,4,0.05431272298562517,False
2025-02-23,TARGET T-2812,114.98,Debit,Shopping,Normal,2025,2,23,6,2025-02,Shopping,1,0.05822966413923536,False
2025-02-10,WATER BILL,95.01,Debit,Utilities,Normal,2025,2,10,0,2025-02,Utilities,0,0.03340601424551903,False
2025-03-07,WATER BILL,85.92,Debit,Utilities,Normal,2025,3,7,4,2025-03,Utilities,1,0.039451808402717226,False
2025-02-18,PAYPAL *SPOTIFY,52.32,Debit,Entertainment,Normal,2025,2,18,1,2025-02,Entertainment,2,0.07056998595010755,False
2025-02-01,Local Diner,14.97,Debit,Food,Normal,2025,2,1,5,2025-02,Food,2,0.06356302476914866,False
2025-02-10,WATER BILL,131.76,Debit,Utilities,Normal,2025,2,10,0,2025-02,Utilities,0,0.04147299522054315,False
2025-01-21,GAS COMPANY,131.4,Debit,Utilities,Normal,2025,1,21,1,2025-01,Other,4,0.0799982731396297,False
2025-01-26,LYFT RIDE PGH,48.9,Debit,Transport,Normal,2025,1,26,6,2025-01,Transport,4,0.030784458041657192,False
2025-02-27,Dominos Pizza,12.75,Debit,Food,Normal,2025,2,27,3,2025-02,Other,4,0.13293201132226085,False
2025-03-08,STEAM PURCHASE,11.62,Debit,Entertainment,Normal,2025,3,8,5,2025-03,Other,1,0.10864584104182023,False
2025-04-01,COSTCO WHOLESALE,79.44,Debit,Groceries,Normal,2025,4,1,1,2025-04,Other,0,-0.03810109377033488,True
2025-02-17,PAYPAL *SPOTIFY,48.06,Debit,Entertainment,Normal,2025,2,17,0,2025-02,Entertainment,2,0.06313045058036304,False
2025-03-17,CINEMA CITY,31.21,Debit,Entertainment,Normal,2025,3,17,0,2025-03,Other,0,0.09892139557469232,False
2025-01-29,AMAZON MKTP US*2R9,199.68,Debit,Shopping,Normal,2025,1,29,2,2025-01,Shopping,4,0.04586089381458036,False
2025-02-27,LOCAL GROCERY MART,118.97,Debit,Groceries,Normal,2025,2,27,3,2025-02,Other,4,0.1378219596409317,False
2025-02-19,H&M STORE 42,198.13,Debit,Shopping,Normal,2025,2,19,2,2025-02,Shopping,0,0.07943501759383315,False
2025-01-13,LOCAL GROCERY MART,130.94,Debit,Groceries,Normal,2025,1,13,0,2025-01,Other,4,0.04046983432490969,False
2025-03-06,METRO TICKET,22.19,Debit,Transport,Normal,2025,3,6,3,2025-03,Other,1,0.1407735469399764,False
2025-01-23,SHELL STATION #221,52.52,Debit,Transport,Normal,2025,1,23,3,2025-01,Other,4,0.12535178904032707,False
2025-01-20,STEAM PURCHASE,55.15,Debit,Entertainment,Normal,2025,1,20,0,2025-01,Other,4,0.06947718148615978,False
2025-02-02,WM SUPERCENTER #382,118.23,Debit,Groceries,Normal,2025,2,2,6,2025-02,Other,1,0.06751722417393924,False
2025-02-08,APPLE STORE #R1234,153.38,Debit,Shopping,Normal,2025,2,8,5,2025-02,Shopping,1,0.08688991622976178,False
2025-03-12,PAYPAL *SPOTIFY,27.61,Debit,Entertainment,Normal,2025,3,12,2,2025-03,Entertainment,2,0.0668390610739601,False
2025-02-09,SHELL STATION #221,27.19,Debit,Transport,Normal,2025,2,9,6,2025-02,Other,1,0.09799680866917482,False
2025-03-23,METRO TICKET,13.33,Debit,Transport,Normal,2025,3,23,6,2025-03,Other,1,0.08375673625648483,False
2025-01-08,ELECTRIC BILL,172.66,Debit,Utilities,Normal,2025,1,8,2,2025-01,Utilities,4,0.035242759079128994,False
2025-01-18,PAYPAL *SPOTIFY,9.99,Debit,Entertainment,Recurring,2025,1,18,5,2025-01,Entertainment,2,-0.020832999376167782,True
2025-01-10,STEAM PURCHASE,41.54,Debit,Entertainment,Normal,2025,1,10,4,2025-01,Other,4,0.13752778624931677,False
2025-02-13,ZARA MALL 09,222.47,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,4,0.06528920276084837,False
2025-01-17,LOCAL GROCERY MART,82.15,Debit,Groceries,Normal,2025,1,17,4,2025-01,Other,4,0.1074485331105795,False
2025-03-16,APPLE STORE #R1234,54.06,Debit,Shopping,Normal,2025,3,16,6,2025-03,Shopping,1,0.07290778223144323,False
2025-01-18,GAS COMPANY,103.51,Debit,Utilities,Normal,2025,1,18,5,2025-01,Other,4,0.08115338858598092,False
2025-01-08,INTERNET CHARGES,48.0,Debit,Utilities,Normal,2025,1,8,2,2025-01,Utilities,4,0.05845631650016048,False
2025-01-30,Starbucks Store 0032,18.3,Debit,Food,Normal,2025,1,30,3,2025-01,Food,2,0.04342005640736879,False
2025-03-19,ELECTRIC BILL,169.98,Debit,Utilities,Normal,2025,3,19,2,2025-03,Utilities,0,0.034208435131903525,False
2025-02-17,GAS COMPANY,138.27,Debit,Utilities,Normal,2025,2,17,0,2025-02,Other,0,0.07106315708324973,False
2025-01-01,Local Diner,31.99,Debit,Food,Normal,2025,1,1,2,2025-01,Food,2,0.06502928590780666,False
2025-02-11,SHELL STATION #221,45.5,Debit,Transport,Normal,2025,2,11,1,2025-02,Other,0,0.1437541077168672,False
2025-03-12,TARGET T-2812,64.12,Debit,Shopping,Normal,2025,3,12,2,2025-03,Shopping,0,0.10702044100321384,False
2025-03-06,McDonalds #8492,6.37,Debit,Food,Normal,2025,3,6,3,2025-03,Food,2,0.052445129700851245,False
2025-03-02,TARGET T-2812,104.6,Debit,Shopping,Normal,2025,3,2,6,2025-03,Shopping,1,0.05843628056640027,False
2025-02-04,INTERNET CHARGES,55.62,Debit,Utilities,Normal,2025,2,4,1,2025-02,Utilities,0,0.06563506178773149,False
2025-01-15,Netflix.com,61.39,Debit,Entertainment,Normal,2025,1,15,2,2025-01,Entertainment,2,0.02997435828723849,False
2025-02-15,Netflix.com Subscription,15.99,Debit,Entertainment,Recurring,2025,2,15,5,2025-02,Entertainment,2,0.036729333056854996,False
2025-01-05,WATER BILL,135.07,Debit,Utilities,Normal,2025,1,5,6,2025-01,Utilities,4,-0.015389330613050145,True
2025-03-14,APPLE STORE #R1234,39.54,Debit,Shopping,Normal,2025,3,14,4,2025-03,Shopping,1,0.08715235610261823,False
2025-02-15,SPAR HYPERMARKET,133.51,Debit,Groceries,Normal,2025,2,15,5,2025-02,Other,1,0.09703954949593835,False
2025-02-14,LOCAL GROCERY MART,93.99,Debit,Groceries,Normal,2025,2,14,4,2025-02,Other,1,0.11790260818513121,False
2025-01-02,COSTCO WHOLESALE,76.25,Debit,Groceries,Normal,2025,1,2,3,2025-01,Other,4,0.11294282777696013,False
2025-02-04,WM SUPERCENTER #382,51.37,Debit,Groceries,Normal,2025,2,4,1,2025-02,Other,0,0.1458071597003825,False
2025-02-09,Netflix.com,53.99,Debit,Entertainment,Normal,2025,2,9,6,2025-02,Entertainment,2,0.01570706106043207,False
2025-02-22,CINEMA CITY,36.97,Debit,Entertainment,Normal,2025,2,22,5,2025-02,Other,1,0.13491459779439885,False
2025-02-03,PAYPAL *SPOTIFY,61.37,Debit,Entertainment,Normal,2025,2,3,0,2025-02,Entertainment,2,0.0439891474141717,False
2025-03-19,LYFT RIDE PGH,53.4,Debit,Transport,Normal,2025,3,19,2,2025-03,Transport,0,0.08015154524278018,False
2025-02-17,Netflix.com,56.59,Debit,Entertainment,Normal,2025,2,17,0,2025-02,Entertainment,2,0.050428967232630684,False
2025-03-24,Netflix.com,51.86,Debit,Entertainment,Normal,2025,3,24,0,2025-03,Entertainment,2,0.03169296340513694,False
2025-01-21,Starbucks Store 0032,19.3,Debit,Food,Normal,2025,1,21,1,2025-01,Food,2,0.04225137689716418,False
2025-03-16,CINEMA CITY,35.43,Debit,Entertainment,Normal,2025,3,16,6,2025-03,Other,1,0.10140513610229762,False
2025-02-23,WM SUPERCENTER #382,50.85,Debit,Groceries,Normal,2025,2,23,6,2025-02,Other,1,0.10036570962503316,False
2025-01-12,COSTCO WHOLESALE,105.21,Debit,Groceries,Normal,2025,1,12,6,2025-01,Other,4,0.03736003417755851,False
2025-01-07,STEAM PURCHASE,67.96,Debit,Entertainment,Normal,2025,1,7,1,2025-01,Other,4,0.11305910330755514,False
2025-03-13,ZARA MALL 09,86.19,Debit,Shopping,Normal,2025,3,13,3,2025-03,Shopping,1,0.10761342096461862,False
2025-04-01,SPAR HYPERMARKET,61.19,Debit,Groceries,Normal,2025,4,1,1,2025-04,Other,0,-0.0320994316497385,True
2025-02-13,APPLE STORE #R1234,179.32,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,4,0.10629969371608916,False
2025-03-05,AMAZON MKTP US*2R9,42.35,Debit,Shopping,Normal,2025,3,5,2,2025-03,Shopping,0,0.10310609865478415,False
2025-01-12,SPAR HYPERMARKET,68.5,Debit,Groceries,Normal,2025,1,12,6,2025-01,Other,4,0.04963233439067527,False
2025-01-17,GAS COMPANY,61.6,Debit,Utilities,Normal,2025,1,17,4,2025-01,Other,4,0.12432231013692085,False
2025-01-26,Netflix.com,50.63,Debit,Entertainment,Normal,2025,1,26,6,2025-01,Entertainment,2,-0.02813130612829229,True
2025-02-22,COSTCO WHOLESALE,36.79,Debit,Groceries,Normal,2025,2,22,5,2025-02,Other,1,0.13491459779439885,False
2025-01-13,PAYPAL *SPOTIFY,78.68,Debit,Entertainment,Normal,2025,1,13,0,2025-01,Entertainment,2,-0.0327085501154557,True
2025-03-27,LOCAL GROCERY MART,79.76,Debit,Groceries,Normal,2025,3,27,3,2025-03,Other,1,0.14303368296290447,False
2025-01-06,YELLOW CAB CO,26.96,Debit,Transport,Normal,2025,1,6,0,2025-01,Transport,4,0.036261247503977745,False
2025-01-23,H&M STORE 42,229.79,Debit,Shopping,Normal,2025,1,23,3,2025-01,Shopping,4,0.033923438235762715,False
2025-01-05,AMAZON MKTP US*2R9,157.21,Debit,Shopping,Normal,2025,1,5,6,2025-01,Shopping,4,-0.0029472335733100596,True
2025-02-07,INTERNET CHARGES,43.07,Debit,Utilities,Normal,2025,2,7,4,2025-02,Utilities,1,0.05164448496095708,False
2025-02-20,Starbucks Store 0032,400.0,Debit,Food,Anomaly,2025,2,20,3,2025-02,Food,2,-0.0332323985188705,True
2025-02-02,McDonalds #8492,27.23,Debit,Food,Normal,2025,2,2,6,2025-02,Food,2,0.034917487510128575,False
2025-01-06,LYFT RIDE PGH,54.06,Debit,Transport,Normal,2025,1,6,0,2025-01,Transport,4,0.039520434023029294,False
2025-01-18,INTERNET CHARGES,95.72,Debit,Utilities,Normal,2025,1,18,5,2025-01,Utilities,4,0.02497673017628832,False
2025-02-05,ELECTRIC BILL,58.01,Debit,Utilities,Normal,2025,2,5,2,2025-02,Utilities,0,0.07590194652256277,False
2025-03-24,UBER TRIP 284922 CA,41.04,Debit,Transport,Normal,2025,3,24,0,2025-03,Transport,0,0.05900256261029668,False
2025-01-06,Starbucks Store 0032,9.8,Debit,Food,Normal,2025,1,6,0,2025-01,Food,2,0.00258022884119391,False
2025-01-19,WATER BILL,104.56,Debit,Utilities,Normal,2025,1,19,6,2025-01,Utilities,4,-0.00549679852589402,True
2025-01-01,TARGET T-2812,220.07,Debit,Shopping,Normal,2025,1,1,2,2025-01,Shopping,4,0.033860403702792086,False
2025-01-10,WATER BILL,176.13,Debit,Utilities,Normal,2025,1,10,4,2025-01,Utilities,4,0.011057746052453243,False
2025-03-03,WATER BILL,47.96,Debit,Utilities,Normal,2025,3,3,0,2025-03,Utilities,0,0.023714630083929378,False
2025-02-24,LOCAL GROCERY MART,35.84,Debit,Groceries,Normal,2025,2,24,0,2025-02,Other,0,0.11054456971245952,False
2025-01-31,STEAM PURCHASE,51.96,Debit,Entertainment,Normal,2025,1,31,4,2025-01,Other,4,0.1318175921661759,False
2025-03-24,Netflix.com,30.24,Debit,Entertainment,Normal,2025,3,24,0,2025-03,Entertainment,2,0.02063001467800163,False
2025-03-21,STEAM PURCHASE,18.64,Debit,Entertainment,Normal,2025,3,21,4,2025-03,Other,1,0.13534929980932714,False
2025-02-08,SPAR HYPERMARKET,63.17,Debit,Groceries,Normal,2025,2,8,5,2025-02,Other,1,0.12186582408703317,False
2025-02-18,INTERNET CHARGES,127.75,Debit,Utilities,Normal,2025,2,18,1,2025-02,Utilities,0,0.060302427862080954,False
2025-02-25,H&M STORE 42,26.68,Debit,Shopping,Normal,2025,2,25,1,2025-02,Shopping,0,0.10750594087295451,False
